# phase-6Q combustor-transient oracle — key	u64 bits (or an integer)	repr
# cpython 3.14.3
A/flow/0.7/m_lo	4596734067664517857	0.21
A/flow/0.7/pic_max	4617215669328298450	4.9113165986641025
A/flow/0.7/m_hi	4609329917768585034	1.4768405600525107
A/flow/0.7/pic_min	4607706047781143595	1.1162689902414609
A/flow/0.7/ceiling_is_the_literal	0	0
A/flow/0.7/0/pi_c	4617215669328298450	4.9113165986641025
A/flow/0.7/0/flowcoef	4599075939470750515	0.3
A/flow/0.7/0/tau_c	4610481778694328688	1.7326050642378412
A/flow/0.7/0/tt3	4647436429864805975	496.17561178337695
A/flow/0.7/0/eta_c	4605178316965837538	0.7775000000000001
A/flow/0.7/1/pi_c	4616518483678474614	4.292091349965963
A/flow/0.7/1/flowcoef	4604952624088977512	0.752443057161611
A/flow/0.7/1/tau_c	4609854789074904276	1.593385401900652
A/flow/0.7/1/tt3	4646735045275051802	456.3065137654645
A/flow/0.7/1/eta_c	4605950622260437706	0.8632431120105022
A/flow/0.7/2/pi_c	4614089149657737980	3.067204649252174
A/flow/0.7/2/flowcoef	4608105143828136859	1.204886114323222
A/flow/0.7/2/tau_c	4609134059754819545	1.4333513447645514
A/flow/0.7/2/tt3	4645928798372662094	410.47668338769734
A/flow/0.7/2/eta_c	4605985401074562083	0.8671043360315064
A/flow/0.7/3/pi_c	4611190657616660208	1.8900078044866255
A/flow/0.7/3/flowcoef	4610142766211776260	1.6573291714848333
A/flow/0.7/3/tau_c	4608319590734074495	1.2525028928295396
A/flow/0.7/3/tt3	4645017689157636853	358.68612065007557
A/flow/0.7/3/eta_c	4605282653408210668	0.7890836720630126
A/flow/0.7/4/pi_c	4607706047781143595	1.1162689902414609
A/flow/0.7/4/flowcoef	4611933203511401781	2.109772228646444
A/flow/0.7/4/tau_c	4607411382012669127	1.0508400460956169
A/flow/0.7/4/tt3	4644001717629976080	300.93482555259925
A/flow/0.7/4/eta_c	4603842379261383464	0.629181120105021
A/flow/0.85/m_lo	4598265291537823826	0.255
A/flow/0.85/pic_max	4621133384695213350	8.78189368417095
A/flow/0.85/m_hi	4610755153182000346	1.7933063943494774
A/flow/0.85/pic_min	4607973866721414597	1.175736741025376
A/flow/0.85/ceiling_is_the_literal	0	0
A/flow/0.85/0/pi_c	4621133384695213350	8.78189368417095
A/flow/0.85/0/flowcoef	4599075939470750515	0.3
A/flow/0.85/0/tau_c	4611866654862314799	2.080218691656817
A/flow/0.85/0/tt3	4648451256303036385	595.7236321654601
A/flow/0.85/0/eta_c	4605208716263322288	0.780875
A/flow/0.85/1/pi_c	4619981931743064532	7.368251178686894
A/flow/0.85/1/flowcoef	4604952624088977513	0.7524430571616111
A/flow/0.85/1/tau_c	4611122801501253658	1.8749407201494308
A/flow/0.85/1/tt3	4647934164092732926	536.937053965579
A/flow/0.85/1/eta_c	4605981021557922456	0.8666181120105021
A/flow/0.85/2/pi_c	4617038146468136467	4.753644625264786
A/flow/0.85/2/flowcoef	4608105143828136860	1.2048861143232221
A/flow/0.85/2/tau_c	4610060093473169538	1.6389721359028333
A/flow/0.85/2/tt3	4646964709908549563	469.3614367248917
A/flow/0.85/2/eta_c	4606015800372046833	0.8704793360315063
A/flow/0.85/3/pi_c	4612762513184455206	2.4780597060737533
A/flow/0.85/3/flowcoef	4610142766211776258	1.6573291714848328
A/flow/0.85/3/tau_c	4608859167212989338	1.3723129389170254
A/flow/0.85/3/tt3	4645621288668027653	392.99678044339845
A/flow/0.85/3/eta_c	4605313052705695419	0.7924586720630126
A/flow/0.85/4/pi_c	4607973866721414597	1.175736741025376
A/flow/0.85/4/flowcoef	4611933203511401781	2.109772228646444
A/flow/0.85/4/tau_c	4607520022720713055	1.0749631291920065
A/flow/0.85/4/tt3	4644123249017548246	307.8430851210991
A/flow/0.85/4/eta_c	4603872778558868214	0.6325561201050209
A/flow/1.0/m_lo	4599075939470750515	0.3
A/flow/1.0/pic_max	4625195900567868481	15.998371539733968
A/flow/1.0/m_hi	4611933203511401781	2.109772228646444
A/flow/1.0/pic_min	4608305322037147854	1.2493346056576686
A/flow/1.0/ceiling_is_the_literal	0	0
A/flow/1.0/0/pi_c	4625195900567868481	15.998371539733968
A/flow/1.0/0/flowcoef	4599075939470750515	0.3
A/flow/1.0/0/tau_c	4612800912383408044	2.4951123759955944
A/flow/1.0/0/tt3	4649496367430646904	714.5390113311723
A/flow/1.0/0/eta_c	4605218849362483872	0.782
A/flow/1.0/1/pi_c	4623455153928710885	12.906184341603373
A/flow/1.0/1/flowcoef	4604952624088977512	0.752443057161611
A/flow/1.0/1/tau_c	4612161127057464766	2.2109906161237793
A/flow/1.0/1/tt3	4648780668869673257	633.1735051721672
A/flow/1.0/1/eta_c	4605991154657084040	0.8677431120105021
A/flow/1.0/2/pi_c	4620197178543782537	7.559428741994119
A/flow/1.0/2/flowcoef	4608105143828136859	1.204886114323222
A/flow/1.0/2/tau_c	4611165359524103402	1.8843904995194927
A/flow/1.0/2/tt3	4647957967948867433	539.6432390950914
A/flow/1.0/2/eta_c	4606025933471208417	0.8716043360315063
A/flow/1.0/3/pi_c	4614703946786032605	3.3402294201746217
A/flow/1.0/3/flowcoef	4610142766211776259	1.657329171484833
A/flow/1.0/3/tau_c	4609503177849113504	1.515312026182734
A/flow/1.0/3/tt3	4646341713890106992	433.94821309994495
A/flow/1.0/3/eta_c	4605323185804857003	0.7935836720630126
A/flow/1.0/4/pi_c	4608305322037147854	1.2493346056576686
A/flow/1.0/4/flowcoef	4611933203511401781	2.109772228646444
A/flow/1.0/4/tau_c	4607649690662571936	1.1037551961135037
A/flow/1.0/4/tt3	4644268302609166638	316.0884271867279
A/flow/1.0/4/eta_c	4603882911658029798	0.633681120105021
A/flow/1.3/m_lo	4600697235336603894	0.39
A/flow/1.3/pic_max	4632671521146807091	53.11096513557131
A/flow/1.3/m_hi	4612811918334230528	2.5
A/flow/1.3/pic_min	4613353348506013475	2.7404432971760726
A/flow/1.3/ceiling_is_the_literal	1	1
A/flow/1.3/0/pi_c	4632671521146807091	53.11096513557131
A/flow/1.3/0/flowcoef	4599075939470750515	0.3
A/flow/1.3/0/tau_c	4615123931084504763	3.526739915432555
A/flow/1.3/0/tt3	4652095022126327114	1009.9718460134839
A/flow/1.3/0/eta_c	4605178316965837538	0.7775000000000001
A/flow/1.3/1/pi_c	4631092446227021516	41.89096300082528
A/flow/1.3/1/flowcoef	4604532223634680154	0.7057692307692307
A/flow/1.3/1/tau_c	4614161711723111341	3.0994286795289185
A/flow/1.3/1/tt3	4651018631367794291	887.6003845231156
A/flow/1.3/1/eta_c	4605905068700380386	0.858185650887574
A/flow/1.3/2/pi_c	4627305083042005621	23.490064506421238
A/flow/1.3/2/flowcoef	4607684743373839501	1.1115384615384614
A/flow/1.3/2/tau_c	4613069471045512980	2.6143763800481654
A/flow/1.3/2/tt3	4649796791713936189	748.6932980731141
A/flow/1.3/2/eta_c	4606038611088739323	0.8730118343195267
A/flow/1.3/3/pi_c	4621496427154150405	9.426786639096472
A/flow/1.3/3/flowcoef	4609512165530330223	1.5173076923076925
A/flow/1.3/3/tau_c	4611847209051709678	2.071583016990295
A/flow/1.3/3/tt3	4648429503164752803	593.2505866634787
A/flow/1.3/3/eta_c	4605578944130914349	0.821978550295858
A/flow/1.3/4/pi_c	4613353348506013475	2.7404432971760726
A/flow/1.3/4/flowcoef	4611339587686820942	1.923076923076923
A/flow/1.3/4/tau_c	4609303833056014976	1.4710485903553092
A/flow/1.3/4/tt3	4646118715994136407	421.2722502942101
A/flow/1.3/4/eta_c	4604526067826905466	0.7050857988165682
A/press/0.7/m_lo	4596734067664517857	0.21
A/press/0.7/pic_max	4618955484114063183	6.456582545655535
A/press/0.7/m_hi	4608450931162597932	1.2816663263917105
A/press/0.7/pic_min	4607865344990361426	1.1516400761278942
A/press/0.7/ceiling_is_the_literal	0	0
A/press/0.7/0/pi_c	4618955484114063183	6.456582545655535
A/press/0.7/0/flowcoef	4599075939470750515	0.3
A/press/0.7/0/tau_c	4610962601440897299	1.839369161038637
A/press/0.7/0/tt3	4647844559855174105	526.7502315510602
A/press/0.7/0/eta_c	4605626875488723639	0.8273
A/press/0.7/1/pi_c	4617217144971790253	4.912627233368693
A/press/0.7/1/flowcoef	4604324776513272439	0.6827379737113252
A/press/0.7/1/tau_c	4610175417918015373	1.6645793066968253
A/press/0.7/1/tt3	4647093718086565459	476.69470262431895
A/press/0.7/1/eta_c	4605907427988925413	0.8584475845340164
A/press/0.7/2/pi_c	4614743185066078278	3.35765471695598
A/press/0.7/2/flowcoef	4607477296252431787	1.0654759474226505
A/press/0.7/2/tau_c	4609321153505683368	1.4748945027590512
A/press/0.7/2/tt3	4646138091588418455	422.3736253156616
A/press/0.7/2/eta_c	4605976868518618221	0.8661570320247286
A/press/0.7/3/pi_c	4611832520324539015	2.065059911747372
A/press/0.7/3/flowcoef	4609200994848218650	1.4482139211339757
A/press/0.7/3/tau_c	4608399808203901286	1.270314749225315
A/press/0.7/3/tt3	4645107424769555329	363.7869996250884
A/press/0.7/3/eta_c	4605835197077802061	0.8504283424721365
A/press/0.7/4/pi_c	4607865344990361426	1.1516400761278942
A/press/0.7/4/flowcoef	4610924693444005513	1.830951894845301
A/press/0.7/4/tau_c	4607411382012669126	1.0508400460956167
A/press/0.7/4/tt3	4644001717629976079	300.9348255525992
A/press/0.7/4/eta_c	4605482413666476936	0.8112615158762404
A/press/0.85/m_lo	4598265291537823826	0.255
A/press/0.85/pic_max	4623283560498969417	12.60137317908597
A/press/0.85/m_hi	4609687812303301723	1.5563091106185059
A/press/0.85/pic_min	4608228176126957786	1.232204772507933
A/press/0.85/ceiling_is_the_literal	0	0
A/press/0.85/0/pi_c	4623283560498969417	12.60137317908597
A/press/0.85/0/flowcoef	4599075939470750515	0.3
A/press/0.85/0/tau_c	4612221138979045229	2.237641262960031
A/press/0.85/0/tt3	4648847801459582342	640.8055970269932
A/press/0.85/0/eta_c	4605718073381177891	0.837425
A/press/0.85/1/pi_c	4621186986179209653	8.877109046869785
A/press/0.85/1/flowcoef	4604324776513272440	0.6827379737113253
A/press/0.85/1/tau_c	4611595565458698081	1.979915406302972
A/press/0.85/1/tt3	4648198593793058046	566.9992303952165
A/press/0.85/1/eta_c	4605998625881379665	0.8685725845340163
A/press/0.85/2/pi_c	4617777318622476163	5.410161381192554
A/press/0.85/2/flowcoef	4607477296252431787	1.0654759474226505
A/press/0.85/2/tau_c	4610335961299698339	1.700227098455948
A/press/0.85/2/tt3	4647273310619537259	486.90335620030845
A/press/0.85/2/eta_c	4606068066411072473	0.8762820320247285
