# slice S oracle (gas) — rungs 43+45 TwoSpoolFuelTransient — key	u64 bits (or an integer)	repr
T/tpg/equilibrium_flag	0	0
T/tpg/0/mf	4580215399233031282	0.015814356160046512
T/tpg/0/eqf/M9	4607182418800016700	0.9999999999999214
T/tpg/0/eqf/Pc_hp	4688278998947104627	263994.23844348564
T/tpg/0/eqf/Pc_lp	4681709237205112584	101467.94367083546
T/tpg/0/eqf/Phi_hp	4426059980885623601	8.106962151213864e-13
T/tpg/0/eqf/Phi_lp	4410404423874666544	7.426637346615347e-14
T/tpg/0/eqf/Pt_hp	4688278998947109437	263994.2384437656
T/tpg/0/eqf/Pt_lp	4681709237205113248	101467.94367084512
T/tpg/0/eqf/Tt2	4643745586963694955	286.3754828060834
T/tpg/0/eqf/Tt25	4645516945561475906	387.0655615324396
T/tpg/0/eqf/Tt3	4648860275383683466	642.2237180120294
T/tpg/0/eqf/Tt4	4653432275910797211	1300.0000000023053
T/tpg/0/eqf/Tt45	4652499583543183853	1087.930308320206
T/tpg/0/eqf/Tt5	4652047986325338146	1004.6244945393448
T/tpg/0/eqf/branch_choked	1	1
T/tpg/0/eqf/eta_hpc	4606096090337847235	0.8793933128993036
T/tpg/0/eqf/eta_hpt	4606461842859638129	0.92
T/tpg/0/eqf/eta_lpc	4606261253788517351	0.897730139475354
T/tpg/0/eqf/eta_lpt	4606281698874543309	0.9
T/tpg/0/eqf/f	4581250064392256837	0.019404072043014215
T/tpg/0/eqf/m_hp	4606415412310681006	0.9148451735501817
T/tpg/0/eqf/m_imp	4605516104319548729	0.8150019297517367
T/tpg/0/eqf/m_lp	4605516104319524686	0.8150019297490674
T/tpg/0/eqf/mdot4	4605658547376568175	0.830816285911835
T/tpg/0/eqf/mdot_air	4605516104319548729	0.8150019297517367
T/tpg/0/eqf/mdot_air_face	4605516104319524686	0.8150019297490674
T/tpg/0/eqf/n_hp	4606635819806196364	0.9393153211822933
T/tpg/0/eqf/n_lp	4606277176935125503	0.8994979638742392
T/tpg/0/eqf/nu_hp	4606464385204718439	0.9202822570044703
T/tpg/0/eqf/nu_hpt	4607079211778423496	0.9885417188323453
T/tpg/0/eqf/nu_lp	4606277176935125503	0.8994979638742392
T/tpg/0/eqf/nu_lpt	4606898040696077135	0.9684276881306263
T/tpg/0/eqf/phi_hp	4606947771828393506	0.9739489529444578
T/tpg/0/eqf/phi_lp	4606336310586139089	0.9060631179627824
T/tpg/0/eqf/pi_hpc	4617516175115520999	5.178219353870168
T/tpg/0/eqf/pi_hpt	4601461323899592801	0.4324154357741517
T/tpg/0/eqf/pi_lpc	4613078612089805097	2.618435819185056
T/tpg/0/eqf/pi_lpt	4604373089077522098	0.6881017458321905
T/tpg/0/eqf/pt4	4696952626012925838	1013443.5631613599
T/tpg/0/eqf/slip	4606978993961422452	0.9774153060411224
T/tpg/0/eqf/sp_thrust	4648651378051444598	618.4748409013107
T/tpg/0/eqf/tau_hpc	4610151244478779625	1.6592117249320444
T/tpg/0/eqf/tau_hpt	4605713069593195277	0.8368694679371359
T/tpg/0/eqf/tau_lpc	4608765891646884628	1.3516016026921465
T/tpg/0/eqf/tau_lpt	4606492712797653039	0.9234272515952905
T/tpg/0/eqf/passes	6	6
T/tpg/1/mf	4581348797629897987	0.019746621773404815
T/tpg/1/eqf/M9	4607182418800017895	1.0000000000001081
T/tpg/1/eqf/Pc_hp	4688637588950982436	284866.9237961641
T/tpg/1/eqf/Pc_lp	4682270833880352380	109640.25088145764
T/tpg/1/eqf/Phi_hp	13642798969680474181	-2.978384360005914e-13
T/tpg/1/eqf/Phi_lp	4423116579807886917	5.13488658179068e-13
T/tpg/1/eqf/Pt_hp	4688637588950980774	284866.92379606736
T/tpg/1/eqf/Pt_lp	4682270833880356746	109640.25088152118
T/tpg/1/eqf/Tt2	4643745586963694955	286.3754828060834
T/tpg/1/eqf/Tt25	4645658688491957561	395.1227143003667
T/tpg/1/eqf/Tt3	4649100677194320475	669.5542396459017
T/tpg/1/eqf/Tt4	4653872080561897742	1400.0000000000614
T/tpg/1/eqf/Tt45	4652880137063048078	1174.4581608345939
T/tpg/1/eqf/Tt5	4652490261776811354	1085.8107840384678
T/tpg/1/eqf/branch_choked	1	1
T/tpg/1/eqf/eta_hpc	4606100230689822158	0.8798529843085647
T/tpg/1/eqf/eta_hpt	4606461842859638129	0.92
T/tpg/1/eqf/eta_lpc	4606276514657474880	0.8994244362845976
T/tpg/1/eqf/eta_lpt	4606281698874543309	0.9
T/tpg/1/eqf/f	4581950897409780634	0.021835575019490606
T/tpg/1/eqf/m_hp	4606798605600053654	0.9573881748245181
T/tpg/1/eqf/m_imp	4606320723236491342	0.9043325745156012
T/tpg/1/eqf/m_lp	4606320723236491476	0.9043325745156161
T/tpg/1/eqf/mdot4	4606498584993412402	0.9240791962890056
T/tpg/1/eqf/mdot_air	4606320723236491342	0.9043325745156012
T/tpg/1/eqf/mdot_air_face	4606320723236491476	0.9043325745156161
T/tpg/1/eqf/n_hp	4606914191140622081	0.9702207476697994
T/tpg/1/eqf/n_lp	4606724636657790752	0.9491759725437738
T/tpg/1/eqf/nu_hp	4606825769183927861	0.9604039384493662
T/tpg/1/eqf/nu_hpt	4607129389107798434	0.994112521470971
T/tpg/1/eqf/nu_lp	4606724636657790752	0.9491759725437738
T/tpg/1/eqf/nu_lpt	4607034231387425310	0.9835478922580625
T/tpg/1/eqf/phi_hp	4607063285560653035	0.9867735534659493
T/tpg/1/eqf/phi_lp	4606756877664355497	0.9527554433263009
T/tpg/1/eqf/pi_hpc	4617975710341697420	5.586368624852081
T/tpg/1/eqf/pi_hpt	4601472230132098302	0.43302085329612783
T/tpg/1/eqf/pi_lpc	4613498890053974890	2.8050767282106124
T/tpg/1/eqf/pi_lpt	4604377953127444546	0.6886417638538733
T/tpg/1/eqf/pt4	4697781314438346767	1171255.1858019864
T/tpg/1/eqf/slip	4607077116726495725	0.9883091213435456
T/tpg/1/eqf/sp_thrust	4649160782319084996	676.3874012112433
T/tpg/1/eqf/tau_hpc	4610310383026202927	1.6945475808229948
T/tpg/1/eqf/tau_hpt	4605731347167414535	0.8388986863103874
T/tpg/1/eqf/tau_lpc	4608892600085217928	1.3797365278225318
T/tpg/1/eqf/tau_lpt	4606502560961875770	0.924520617462327
T/tpg/1/eqf/passes	3	3
T/tpg/2/mf	4581983078020450352	0.021947223941090666
T/tpg/2/eqf/M9	4607182418800016903	0.9999999999999439
T/tpg/2/eqf/Pc_hp	4688817591241054325	295344.4360603162
T/tpg/2/eqf/Pc_lp	4682553496797180736	113753.53768534679
T/tpg/2/eqf/Phi_hp	4422348442727650114	4.4533699253600257e-13
T/tpg/2/eqf/Phi_lp	4409829589564244206	6.701094443460368e-14
T/tpg/2/eqf/Pt_hp	4688817591241056736	295344.43606045656
T/tpg/2/eqf/Pt_lp	4682553496797181292	113753.53768535488
T/tpg/2/eqf/Tt2	4643745586963694955	286.3754828060834
T/tpg/2/eqf/Tt25	4645729973763861126	399.1748128697876
T/tpg/2/eqf/Tt3	4649220906152730291	683.2226897300774
T/tpg/2/eqf/Tt4	4654091982887318395	1449.999999969469
T/tpg/2/eqf/Tt45	4653070536586619531	1217.7500003116754
T/tpg/2/eqf/Tt5	4652668950466378084	1126.43988814539
T/tpg/2/eqf/branch_choked	1	1
T/tpg/2/eqf/eta_hpc	4606101229051328557	0.8799638247016951
T/tpg/2/eqf/eta_hpt	4606461842859638129	0.92
T/tpg/2/eqf/eta_lpc	4606280397032081833	0.8998554664524835
T/tpg/2/eqf/eta_lpt	4606281698874543309	0.9
T/tpg/2/eqf/f	4582306255644331772	0.02306847156320567
T/tpg/2/eqf/m_hp	4606990566047832104	0.9787000657186171
T/tpg/2/eqf/m_imp	4606744622099068984	0.9513948022502126
T/tpg/2/eqf/m_lp	4606744622099068968	0.9513948022502108
T/tpg/2/eqf/mdot4	4606942305118194810	0.9733420261913033
T/tpg/2/eqf/mdot_air	4606744622099068984	0.9513948022502126
T/tpg/2/eqf/mdot_air_face	4606744622099068967	0.9513948022502107
T/tpg/2/eqf/n_hp	4607049548482576533	0.9852484314287887
T/tpg/2/eqf/n_lp	4606952203062244453	0.9744409187293398
T/tpg/2/eqf/nu_hp	4607004686063200095	0.9802677023355776
T/tpg/2/eqf/nu_hpt	4607155628048739911	0.9970256291084717
T/tpg/2/eqf/nu_lp	4606952203062244453	0.9744409187293398
T/tpg/2/eqf/nu_lpt	4607106912083861439	0.9916170705209807
T/tpg/2/eqf/phi_hp	4607122553254574322	0.9933535893067342
T/tpg/2/eqf/phi_lp	4606969393095548667	0.976349395806181
