# slice S oracle (main) — rungs 43+45 TwoSpoolFuelTransient — key	u64 bits (or an integer)	repr
A/r43/R_c	4643754814367753830	286.9
A/r43/R_t	4643737628155233517	285.92307692307696
A/r43/cp_c	4652042493213278208	1004.0
A/r43/gamma_c	4608983858650965606	1.4
A/r45/R_c	4643754060416923354	286.8571428571428
A/r45/R_t	4643737628155233517	285.92307692307696
A/r45/cp_c	4652042493213278208	1004.0
A/r45/gamma_c	4608983858650965606	1.4
A/r43/sp_thrust	4648565269902498906	608.6854777456131
A/r43/Tt4	4652983491735927473	1197.9582926814148
A/r43/nu_lpt	4607718285584316581	1.1189863284121568
A/r45/sp_thrust	4648565446867313739	608.7055963157994
A/r45/Tt4	4652983491735927473	1197.9582926814148
A/r45/nu_lpt	4607718285584316581	1.1189863284121568
census/A/close_calls	2	2
census/A/eq_calls	0	0
census/A/eq_passes	0	0
census/A/hi_wall_hi0	0	0
census/A/hi_wall_literal	0	0
census/A/hi_wall_map	2	2
census/A/illinois_calls	2	2
census/A/illinois_evals	14	14
census/A/illinois_exhausted	0	0
census/A/instant_calls	2	2
census/A/interp_high	0	0
census/A/interp_low	0	0
census/A/interp_mid	0	0
census/A/lo_floor_hits	0	0
census/A/march_calls	0	0
census/A/march_points	0	0
census/A/rw_calls	0	0
census/A/rw_interior	0	0
census/A/rw_one	0	0
census/A/rw_zero	0	0
census/A/sched_calls	0	0
census/A/sched_dormant	0	0
census/A/surge_calls	0	0
census/A/surge_dormant	0	0
census/A/topping_calls	0	0
B/0/mf	4583809590202238791	0.02828421106290271
B/0/eq40/nu_lp	4607182418800017408	1.0
B/0/eq40/nu_hp	4607182418800017408	1.0
B/0/eq40/pi_lpc	4613937818241073153	3.0000000000000004
B/0/eq40/pi_hpc	4618441417868443649	6.000000000000001
B/0/eq40/Tt4	4654311885213007872	1500.0
B/0/eq40/mdot_air	4607182418800017409	1.0000000000000002
B/0/eq40/f	4583809590202238789	0.028284211062902704
B/0/eq40/tau_hpt	4605717804202370306	0.8373951151490078
B/0/eq40/tau_lpt	4606513284257310085	0.9257111424114305
B/0/eq40/sp_thrust	4649651320669411054	732.1551550409911
B/0/eqf/M9	4607182418800017406	0.9999999999999998
B/0/eqf/Pc_hp	4689028848267263342	307641.2134074782
B/0/eqf/Pc_lp	4682824482708545820	117696.90169561323
B/0/eqf/Phi_hp	4392981919590641612	5.1085705561237316e-15
B/0/eqf/Phi_lp	13621356199628391289	-1.1003861925559265e-14
B/0/eqf/Pt_hp	4689028848267263369	307641.21340747975
B/0/eqf/Pt_lp	4682824482708545731	117696.90169561193
B/0/eqf/Tt2	4643741180423569407	286.12499999999994
B/0/eqf/Tt25	4645803477028629735	403.35298973666653
B/0/eqf/Tt3	4649454405929320605	709.768540939334
B/0/eqf/Tt4	4654311885213007872	1500.0
B/0/eqf/Tt45	4653239169443246811	1256.0926727235117
B/0/eqf/Tt5	4652828771495902638	1162.778983041509
B/0/eqf/branch_choked	1	1
B/0/eqf/eta_hpc	4606101554889448489	0.88
B/0/eqf/eta_hpt	4606461842859638129	0.92
B/0/eqf/eta_lpc	4606281698874543309	0.9
B/0/eqf/eta_lpt	4606281698874543309	0.9
B/0/eqf/f	4583809590202238789	0.028284211062902704
B/0/eqf/m_hp	4607182418800017407	0.9999999999999999
B/0/eqf/m_imp	4607182418800017409	1.0000000000000002
B/0/eqf/m_lp	4607182418800017409	1.0000000000000002
B/0/eqf/mdot4	4607309799562420766	1.028284211062903
B/0/eqf/mdot_air	4607182418800017409	1.0000000000000002
B/0/eqf/mdot_air_face	4607182418800017409	1.0000000000000002
B/0/eqf/n_hp	4607182418800017408	1.0
B/0/eqf/n_lp	4607182418800017408	1.0
B/0/eqf/nu_hp	4607182418800017408	1.0
B/0/eqf/nu_hpt	4607182418800017408	1.0
B/0/eqf/nu_lp	4607182418800017408	1.0
B/0/eqf/nu_lpt	4607182418800017410	1.0000000000000004
B/0/eqf/phi_hp	4607182418800017407	0.9999999999999999
B/0/eqf/phi_lp	4607182418800017409	1.0000000000000002
B/0/eqf/pi_hpc	4618441417868443649	6.000000000000001
B/0/eqf/pi_hpt	4601427004634511389	0.4305103338600718
B/0/eqf/pi_lpc	4613937818241073153	3.0000000000000004
B/0/eqf/pi_lpt	4604376207078889679	0.6884479135231006
B/0/eqf/pt4	4698523799358154354	1344128.4275840786
B/0/eqf/slip	4607182418800017408	1.0
B/0/eqf/sp_thrust	4649651320669411054	732.1551550409911
B/0/eqf/tau_hpc	4610603672633087516	1.7596709557123011
B/0/eqf/tau_hpt	4605717804202370306	0.8373951151490078
B/0/eqf/tau_lpc	4609027584132985321	1.409709007380224
B/0/eqf/tau_lpt	4606513284257310085	0.9257111424114305
B/0/eqf/passes	0	0
B/1/mf	4581171736478880146	0.019132317502696568
B/1/eq40/nu_lp	4606281558955011413	0.8999844658114095
B/1/eq40/nu_hp	4606440312872096373	0.917609691211125
B/1/eq40/pi_lpc	4613089803660787360	2.62340587509955
B/1/eq40/pi_hpc	4617521945516958259	5.183344499899749
B/1/eq40/Tt4	4653432275910787072	1300.0
B/1/eq40/mdot_air	4605518772844114416	0.815298195493197
B/1/eq40/f	4582421022801508491	0.02346665012685682
B/1/eq40/tau_hpt	4605717804202370308	0.837395115149008
B/1/eq40/tau_lpt	4606513284257310084	0.9257111424114304
B/1/eq40/sp_thrust	4648704354554194534	624.4975719725014
B/1/eqf/M9	4607182418800017408	1.0
B/1/eqf/Pc_hp	4688302690121149208	265373.24626891455
B/1/eqf/Pc_lp	4681713232847163068	101526.087915237
B/1/eqf/Phi_hp	4375310999304651243	3.362204436519395e-16
B/1/eqf/Phi_lp	4380946282726153483	7.840335250867186e-16
B/1/eqf/Pt_hp	4688302690121149210	265373.24626891466
B/1/eqf/Pt_lp	4681713232847163075	101526.0879152371
B/1/eqf/Tt2	4643741180423569407	286.12499999999994
B/1/eqf/Tt25	4645520130450428555	387.24660150920016
B/1/eqf/Tt3	4648942420916305238	651.5625838487565
B/1/eqf/Tt4	4653432275910787068	1299.999999999999
B/1/eqf/Tt45	4652502588910327483	1088.6136496937095
B/1/eqf/Tt5	4652075406304869364	1007.7417853026404
B/1/eqf/branch_choked	1	1
B/1/eqf/eta_hpc	4606095673270062174	0.8793470090735231
B/1/eqf/eta_hpt	4606461842859638129	0.92
B/1/eqf/eta_lpc	4606261243322334589	0.8977289774956457
B/1/eqf/eta_lpt	4606281698874543309	0.9
B/1/eqf/f	4582421022801508482	0.023466650126856788
B/1/eqf/m_hp	4606403577692968216	0.9135312670429441
B/1/eqf/m_imp	4605518772844114426	0.8152981954931982
B/1/eqf/m_lp	4605518772844114426	0.8152981954931982
B/1/eqf/mdot4	4605691101440066183	0.8344305129958948
B/1/eqf/mdot_air	4605518772844114426	0.8152981954931982
B/1/eqf/mdot_air_face	4605518772844114426	0.8152981954931982
B/1/eqf/n_hp	4606610443051979722	0.9364979355001364
B/1/eqf/n_lp	4606281558955011443	0.8999844658114128
B/1/eqf/nu_hp	4606440312872096356	0.9176096912111231
B/1/eqf/nu_hpt	4607053353945266147	0.9856709226585249
B/1/eqf/nu_lp	4606281558955011443	0.8999844658114128
B/1/eqf/nu_lpt	4606882824883261357	0.96673839355798
B/1/eqf/phi_hp	4606961526311983220	0.9754760073817708
B/1/eqf/phi_lp	4606334864047825880	0.9059025199486497
B/1/eqf/pi_hpc	4617521945516958223	5.183344499899717
B/1/eqf/pi_hpt	4601427004634511389	0.4305103338600718
B/1/eqf/pi_lpc	4613089803660787404	2.6234058750995697
B/1/eqf/pi_lpt	4604376207078889679	0.6884479135231006
B/1/eqf/pt4	4696969565499236179	1015415.5789117612
B/1/eqf/slip	4607009410691444166	0.9807922414415138
B/1/eqf/sp_thrust	4648704354554194532	624.4975719725012
B/1/eqf/tau_hpc	4610256360197910378	1.682552103257843
B/1/eqf/tau_hpt	4605717804202370307	0.8373951151490079
B/1/eqf/tau_lpc	4608774070025446650	1.353417567528878
B/1/eqf/tau_lpt	4606513284257310084	0.9257111424114304
B/1/eqf/passes	4	4
B/2/mf	4578211146137771998	0.012242853183877796
B/2/eq40/nu_lp	4605410552180219728	0.8032832882135867
B/2/eq40/nu_hp	4605678410599971841	0.8330215467084373
B/2/eq40/pi_lpc	4612313180577576462	2.278515943725103
B/2/eq40/pi_hpc	4616627776315598567	4.389162711691575
B/2/eq40/Tt4	4652552666608566272	1100.0
B/2/eq40/mdot_air	4604074101639888852	0.6549074720987798
B/2/eq40/f	4581045405737808157	0.018694019698146314
B/2/eq40/tau_hpt	4605717804202370306	0.8373951151490078
B/2/eq40/tau_lpt	4606513284257310083	0.9257111424114303
B/2/eq40/sp_thrust	4647557687566071662	503.0683140865211
B/2/eqf/M9	4607182418800017402	0.9999999999999993
B/2/eqf/Pc_hp	4686919396742168352	223499.48716067616
B/2/eqf/Pc_lp	4680612346948107204	85506.08963607164
B/2/eqf/Phi_hp	13588890525906930950	-7.437540552909251e-17
B/2/eqf/Phi_lp	4386187938264516515	1.7136229136857598e-15
B/2/eqf/Pt_hp	4686919396742168351	223499.48716067613
B/2/eqf/Pt_lp	4680612346948107221	85506.08963607189
B/2/eqf/Tt2	4643741180423569407	286.12499999999994
B/2/eqf/Tt25	4645239426476167299	371.2904279243741
B/2/eqf/Tt3	4648435210881061468	593.8994788812229
B/2/eqf/Tt4	4652552666608566278	1100.0000000000014
B/2/eqf/Tt45	4651313601681093965	921.1346266639099
B/2/eqf/Tt5	4650711684691655843	852.7045875637745
B/2/eqf/branch_choked	1	1
B/2/eqf/eta_hpc	4606076498370539662	0.8772181675790465
B/2/eqf/eta_hpt	4606461842859638129	0.92
B/2/eqf/eta_lpc	4606202808823212853	0.8912414448599068
B/2/eqf/eta_lpt	4606281698874543309	0.9
B/2/eqf/f	4581045405737808171	0.018694019698146363
B/2/eqf/m_hp	4605626881328303322	0.8273006483235819
B/2/eqf/m_imp	4604074101639888837	0.6549074720987781
B/2/eqf/m_lp	4604074101639888837	0.6549074720987781
B/2/eqf/mdot4	4604184375457962565	0.6671503252826559
B/2/eqf/mdot_air	4604074101639888837	0.6549074720987781
B/2/eqf/mdot_air_face	4604074101639888837	0.6549074720987781
B/2/eqf/n_hp	4605995669996417494	0.8682444153797018
B/2/eqf/n_lp	4605410552180219716	0.8032832882135854
