# phase-5J component-map matcher oracle — key	u64 bits	repr
# pypy 3.11.15
ref/cpg/Tt2_d	4643741180423569407	286.12499999999994
ref/cpg/mdot_corr_d	4552154909493240776	0.00021746074657816154
ref/cpg/tau_c_d	4611815746991539685	2.0576110555491476
ref/cpg/Tt4_d	4654311885213007872	1500.0
ref/tpg/Tt2_d	4643745586963694955	286.3754828060834
ref/tpg/mdot_corr_d	4552150866390978027	0.0002173511580717402
ref/tpg/tau_c_d	4611770577926475300	2.037551961135039
ref/tpg/Tt4_d	4654311885213007872	1500.0
ref/eq/Tt2_d	4643745586963694955	286.3754828060834
ref/eq/mdot_corr_d	4552150866390978027	0.0002173511580717402
ref/eq/tau_c_d	4611770577926475300	2.037551961135039
ref/eq/Tt4_d	4654311885213007872	1500.0
map/flat/psi/0	4607182418800017408	1.0
map/flat/psi/1	4607182418800017408	1.0
map/flat/psi/2	4607182418800017408	1.0
map/flat/psi/3	4607182418800017408	1.0
map/flat/psi/4	4607182418800017408	1.0
map/flat/psi/5	4607182418800017408	1.0
map/flat/psi/6	4607182418800017408	1.0
map/flat/psi/7	4607182418800017408	1.0
map/flat/psi/8	4607182418800017408	1.0
map/flat/psi/9	4607182418800017408	1.0
map/flat/eta_c/0/0	4606101554889448489	0.88
map/flat/eta_c/0/1	4606101554889448489	0.88
map/flat/eta_c/0/2	4606101554889448489	0.88
map/flat/eta_c/0/3	4606101554889448489	0.88
map/flat/eta_c/0/4	4606101554889448489	0.88
map/flat/eta_c/0/5	4606101554889448489	0.88
map/flat/eta_c/0/6	4606101554889448489	0.88
map/flat/eta_c/0/7	4606101554889448489	0.88
map/flat/eta_c/1/0	4606101554889448489	0.88
map/flat/eta_c/1/1	4606101554889448489	0.88
map/flat/eta_c/1/2	4606101554889448489	0.88
map/flat/eta_c/1/3	4606101554889448489	0.88
map/flat/eta_c/1/4	4606101554889448489	0.88
map/flat/eta_c/1/5	4606101554889448489	0.88
map/flat/eta_c/1/6	4606101554889448489	0.88
map/flat/eta_c/1/7	4606101554889448489	0.88
map/flat/eta_c/2/0	4606101554889448489	0.88
map/flat/eta_c/2/1	4606101554889448489	0.88
map/flat/eta_c/2/2	4606101554889448489	0.88
map/flat/eta_c/2/3	4606101554889448489	0.88
map/flat/eta_c/2/4	4606101554889448489	0.88
map/flat/eta_c/2/5	4606101554889448489	0.88
map/flat/eta_c/2/6	4606101554889448489	0.88
map/flat/eta_c/2/7	4606101554889448489	0.88
map/flat/eta_c/3/0	4606101554889448489	0.88
map/flat/eta_c/3/1	4606101554889448489	0.88
map/flat/eta_c/3/2	4606101554889448489	0.88
map/flat/eta_c/3/3	4606101554889448489	0.88
map/flat/eta_c/3/4	4606101554889448489	0.88
map/flat/eta_c/3/5	4606101554889448489	0.88
map/flat/eta_c/3/6	4606101554889448489	0.88
map/flat/eta_c/3/7	4606101554889448489	0.88
map/flat/eta_c/4/0	4606101554889448489	0.88
map/flat/eta_c/4/1	4606101554889448489	0.88
map/flat/eta_c/4/2	4606101554889448489	0.88
map/flat/eta_c/4/3	4606101554889448489	0.88
map/flat/eta_c/4/4	4606101554889448489	0.88
map/flat/eta_c/4/5	4606101554889448489	0.88
map/flat/eta_c/4/6	4606101554889448489	0.88
map/flat/eta_c/4/7	4606101554889448489	0.88
map/flat/eta_c/5/0	4606101554889448489	0.88
map/flat/eta_c/5/1	4606101554889448489	0.88
map/flat/eta_c/5/2	4606101554889448489	0.88
map/flat/eta_c/5/3	4606101554889448489	0.88
map/flat/eta_c/5/4	4606101554889448489	0.88
map/flat/eta_c/5/5	4606101554889448489	0.88
map/flat/eta_c/5/6	4606101554889448489	0.88
map/flat/eta_c/5/7	4606101554889448489	0.88
map/flat/eta_c/6/0	4606101554889448489	0.88
map/flat/eta_c/6/1	4606101554889448489	0.88
map/flat/eta_c/6/2	4606101554889448489	0.88
map/flat/eta_c/6/3	4606101554889448489	0.88
map/flat/eta_c/6/4	4606101554889448489	0.88
map/flat/eta_c/6/5	4606101554889448489	0.88
map/flat/eta_c/6/6	4606101554889448489	0.88
map/flat/eta_c/6/7	4606101554889448489	0.88
map/flat/eta_c/7/0	4606101554889448489	0.88
map/flat/eta_c/7/1	4606101554889448489	0.88
map/flat/eta_c/7/2	4606101554889448489	0.88
map/flat/eta_c/7/3	4606101554889448489	0.88
map/flat/eta_c/7/4	4606101554889448489	0.88
map/flat/eta_c/7/5	4606101554889448489	0.88
map/flat/eta_c/7/6	4606101554889448489	0.88
map/flat/eta_c/7/7	4606101554889448489	0.88
map/flat/eta_c/8/0	4606101554889448489	0.88
map/flat/eta_c/8/1	4606101554889448489	0.88
map/flat/eta_c/8/2	4606101554889448489	0.88
map/flat/eta_c/8/3	4606101554889448489	0.88
map/flat/eta_c/8/4	4606101554889448489	0.88
map/flat/eta_c/8/5	4606101554889448489	0.88
map/flat/eta_c/8/6	4606101554889448489	0.88
map/flat/eta_c/8/7	4606101554889448489	0.88
map/flat/eta_c/9/0	4606101554889448489	0.88
map/flat/eta_c/9/1	4606101554889448489	0.88
map/flat/eta_c/9/2	4606101554889448489	0.88
