# phase-4F recombination-march oracle — key	u64 bits	repr
# cpython 3.14.3
order/CO2	0	0.0
order/H2O	4607182418800017408	1.0
order/CO	4611686018427387904	2.0
order/H2	4613937818241073152	3.0
order/OH	4616189618054758400	4.0
order/O	4617315517961601024	5.0
order/H	4618441417868443648	6.0
order/O2	4619567317775286272	7.0
order/N2	4620693217682128896	8.0
order/Ar	4621256167635550208	9.0
order/n_species	4621819117588971520	10.0
entry/cold/comp/CO2	4586280091546280126	0.042460968841568456
entry/cold/comp/H2O	4586279810338366463	0.04245901756969061
entry/cold/comp/CO	4484172831276401508	6.282272697715637e-09
entry/cold/comp/H2	4480690640839336216	3.563581288709794e-09
entry/cold/comp/OH	4526227726850318654	3.907956730657683e-06
entry/cold/comp/O	4493125399186320401	2.494833083376439e-08
entry/cold/comp/H	4448103097893386632	2.4407855199313723e-11
entry/cold/comp/O2	4594424311434833738	0.14589138631333248
entry/cold/comp/N2	4605210854977551093	0.7811124449779913
entry/cold/comp/Ar	4576516852069590693	0.009303721488595438
ref/cold/T9_frozen	4649287324828129836	690.7736189019101
ref/cold/V9_frozen	4651232338067957125	911.8960234645498
ref/cold/T9_reversible	4649287426667284584	690.7851966733697
ref/cold/V9_reversible	4651232426480793945	911.9060748403818
ref/cold/T9_irrev_fast	4649287442304887612	690.7869744630075
ref/cold/V9_irrev_fast	4651232407565402545	911.9039244093493
ref/cold/T_star	4652342811140232420	1052.2843908530713
ref/cold/comp_irrev/CO2	4586280092451651039	0.042460975123841165
ref/cold/comp_irrev/H2O	4586280092450643865	0.04246097511685249
ref/cold/comp_irrev/CO	4342969442437507597	2.3122719841615094e-18
ref/cold/comp_irrev/H2	4358189840909271758	2.3766286341490817e-17
ref/cold/comp_irrev/OH	4444697158774955988	1.3977293795282125e-11
ref/cold/comp_irrev/O	4368390415645272137	1.0977463384119515e-16
ref/cold/comp_irrev/H	4278434704135672716	1.0623313342878872e-22
ref/cold/comp_irrev/O2	4594424346906294982	0.14589237084415724
ref/cold/comp_irrev/N2	4605210854977551093	0.7811124449779913
ref/cold/comp_irrev/Ar	4576516852069590693	0.009303721488595438
eqhp/cold/T_star	4652342811140232420	1052.2843908530713
eqhp/cold/H_entry	4663727716385649195	6371.648564305661
eqhp/cold/comp/CO2	4586280092448398186	0.04246097510126996
eqhp/cold/comp/H2O	4586280081841727918	0.0424609015027103
eqhp/cold/comp/CO	4447534676395589071	2.2571186282374286e-11
eqhp/cold/comp/H2	4448707891327342636	2.636204818043785e-11
eqhp/cold/comp/OH	4504656690231119991	1.4718951049663752e-07
eqhp/cold/comp/O	4460543294383245388	1.675884183874988e-10
eqhp/cold/comp/H	4404115561835412023	2.7144153192556856e-14
eqhp/cold/comp/O2	4594424345578518373	0.14589233399095317
eqhp/cold/comp/N2	4605210854977551093	0.7811124449779913
eqhp/cold/comp/Ar	4576516852069590693	0.009303721488595438
eqhp/cold/rise	4580785541544411136	0.017792434664443135
entry/dp/comp/CO2	4588247561122707495	0.05611303149156326
entry/dp/comp/H2O	4588245270344536262	0.05609713602487569
entry/dp/comp/CO	4509029518361034519	2.874560355615884e-07
entry/dp/comp/H2	4502984101077536787	1.1106286689394131e-07
entry/dp/comp/OH	4539868079435730855	3.214154388633756e-05
entry/dp/comp/O	4513127001863619842	5.319128538601417e-07
entry/dp/comp/H	4477335254769197561	2.1758261362851994e-09
entry/dp/comp/O2	4593686238731028133	0.12540575357302433
entry/dp/comp/N2	4605210854977551093	0.7811124449779913
entry/dp/comp/Ar	4576516852069590693	0.009303721488595438
ref/dp/T9_frozen	4650351087250212771	811.709404755606
ref/dp/V9_frozen	4652288304451292378	1039.891004652533
ref/dp/T9_reversible	4650351943366078588	811.806733861114
ref/dp/V9_reversible	4652288616425223280	1039.9619393118446
ref/dp/T9_irrev_fast	4650352032585643724	811.8168769513372
ref/dp/V9_irrev_fast	4652288567244054416	1039.9507568087174
ref/dp/T_star	4653268780935720304	1262.8255466025694
ref/dp/comp_irrev/CO2	4588247602549487378	0.05611331894759365
ref/dp/comp_irrev/H2O	4588247602475248276	0.0561133184324564
ref/dp/comp_irrev/CO	4393070696956175999	5.178603549062325e-15
ref/dp/comp_irrev/H2	4401906404783903386	2.0173282666842917e-14
ref/dp/comp_irrev/OH	4472552787163502403	1.030244521859595e-09
ref/dp/comp_irrev/O	4410086153121946264	7.024923180061278e-14
ref/dp/comp_irrev/H	4337430912186451229	9.568156042287568e-19
ref/dp/comp_irrev/O2	4593686530610451547	0.12541385485443154
ref/dp/comp_irrev/N2	4605210854977551093	0.7811124449779913
ref/dp/comp_irrev/Ar	4576516852069590693	0.009303721488595438
eqhp/dp/T_star	4653268780935720304	1262.8255466025694
eqhp/dp/H_entry	4663112361614364047	5811.986660111127
eqhp/dp/comp/CO2	4588247601621791186	0.0561133125104082
eqhp/dp/comp/H2O	4588247352831960898	0.05611158618417146
eqhp/dp/comp/CO	4484360115556147498	6.437190622957478e-09
eqhp/dp/comp/H2	4481395782777785662	3.985152019541116e-09
eqhp/dp/comp/OH	4525274299567723054	3.4575348375565366e-06
eqhp/dp/comp/O	4491007568804986066	1.79410179053022e-08
eqhp/dp/comp/H	4447269123573675211	2.171313883746846e-11
eqhp/dp/comp/O2	4593686499341777923	0.12541298697439637
eqhp/dp/comp/N2	4605210854977551093	0.7811124449779913
eqhp/dp/comp/Ar	4576516852069590693	0.009303721488595438
eqhp/dp/rise	4594005572189159424	0.13426903751678765
entry/warm/comp/CO2	4590297587143591939	0.07817588910145905
entry/warm/comp/H2O	4590287503330059970	0.07803594807696881
entry/warm/comp/CO	4536444948751709997	1.9731543117177515e-05
entry/warm/comp/H2	4527703418925624185	5.157916538443542e-06
entry/warm/comp/OH	4554330612597756819	0.0003087259697863106
entry/warm/comp/O	4534239534040796942	1.3759048244833406e-05
entry/warm/comp/H	4509329413491062070	3.033323515524914e-07
entry/warm/comp/O2	4591309489991935623	0.09221886211289575
entry/warm/comp/N2	4605210854977551093	0.7811124449779913
entry/warm/comp/Ar	4576516852069590693	0.009303721488595438
ref/warm/T9_frozen	4651997398599473765	998.8733359582953
ref/warm/V9_frozen	4653030337690208967	1208.6098294860437
ref/warm/T9_reversible	4652006707907420893	999.931681740181
ref/warm/V9_reversible	4653033078172241485	1209.2329429582635
ref/warm/T9_irrev_fast	4652007281036556672	999.9968389792339
ref/warm/V9_irrev_fast	4653032790535446502	1209.1675419229955
ref/warm/T_star	4654652282306411160	1577.3973382372988
ref/warm/comp_irrev/CO2	4590299008949489388	0.07819562062200774
ref/warm/comp_irrev/H2O	4590299005226485311	0.07819556895494716
ref/warm/comp_irrev/CO	4447533831792926872	2.2568457223985686e-11
ref/warm/comp_irrev/H2	4450066229854678122	3.2398322897077504e-11
ref/warm/comp_irrev/OH	4502398646707630185	1.0331444282480227e-07
ref/warm/comp_irrev/O	4454877110463483110	6.876815939491874e-11
ref/warm/comp_irrev/H	4401412940186730938	1.8616182951563e-14
ref/warm/comp_irrev/O2	4591314643163257805	0.0922903767310423
ref/warm/comp_irrev/N2	4605210854977551093	0.7811124449779913
ref/warm/comp_irrev/Ar	4576516852069590693	0.009303721488595438
eqhp/warm/T_star	4654652282306411160	1577.3973382372988
eqhp/warm/H_entry	4662117041647570982	4906.748423744028
eqhp/warm/comp/CO2	4590298864144905806	0.0781936110547232
eqhp/warm/comp/H2O	4590296090868878123	0.07815512411847851
eqhp/warm/comp/CO	4521855436135741045	2.0095898530307e-06
eqhp/warm/comp/H2	4514620713833118602	6.900657603443367e-07
eqhp/warm/comp/OH	4545501435347999965	7.9594140503503e-05
eqhp/warm/comp/O	4520978115172650278	1.7726893026579116e-06
eqhp/warm/comp/H	4491261187324421250	1.878017119434695e-08
eqhp/warm/comp/O2	4591313244920130749	0.09227097220962129
eqhp/warm/comp/N2	4605210854977551093	0.7811124449779913
eqhp/warm/comp/Ar	4576516852069590693	0.009303721488595438
eqhp/warm/rise	4608069646142144512	1.1970040446612984
entry/hot/comp/CO2	4592648204074089202	0.1107972520803562
entry/hot/comp/H2O	4592640434833715201	0.11068943221101792
entry/hot/comp/CO	4563311042249764547	0.0012290991468572466
entry/hot/comp/H2	4552713395465211498	0.00023259853918099492
entry/hot/comp/OH	4567164654594361806	0.002176311244086216
entry/hot/comp/O	4551777580730848652	0.00020723322997999135
entry/hot/comp/H	4539895847844423716	3.232970994278297e-05
entry/hot/comp/O2	4586161135223282134	0.04163554353708647
entry/hot/comp/N2	4605210854977551093	0.7811124449779913
entry/hot/comp/Ar	4576516852069590693	0.009303721488595438
ref/hot/T9_frozen	4653247435782818572	1257.9722207344048
ref/hot/V9_frozen	4653900841345945306	1406.539445177585
ref/hot/T9_reversible	4653308816264861712	1271.9285265370308
ref/hot/V9_reversible	4653929315186485835	1413.0136469552697
ref/hot/T9_irrev_fast	4653310912630469456	1272.4051848903364
ref/hot/V9_irrev_fast	4653927388322135643	1412.575528725886
ref/hot/T_star	4656527696657059076	2003.8171921230978
ref/hot/comp_irrev/CO2	4592736764998555460	0.11202628179816282
ref/hot/comp_irrev/H2O	4592736527827766438	0.11202299039227856
ref/hot/comp_irrev/CO	4499838338860317669	6.942905060937362e-08
ref/hot/comp_irrev/H2	4496435769990707352	4.2000535677837124e-08
ref/hot/comp_irrev/OH	4529450153797903006	6.6374585253817355e-06
ref/hot/comp_irrev/O	4494844180229119202	3.146827812644822e-08
ref/hot/comp_irrev/H	4462194573841143865	2.1027299193377048e-10
ref/hot/comp_irrev/O2	4586147753238027972	0.04154268736118419
