# phase-4F recombination-march oracle — key	u64 bits	repr
# pypy 3.11.15
order/CO2	0	0.0
order/H2O	4607182418800017408	1.0
order/CO	4611686018427387904	2.0
order/H2	4613937818241073152	3.0
order/OH	4616189618054758400	4.0
order/O	4617315517961601024	5.0
order/H	4618441417868443648	6.0
order/O2	4619567317775286272	7.0
order/N2	4620693217682128896	8.0
order/Ar	4621256167635550208	9.0
order/n_species	4621819117588971520	10.0
entry/cold/comp/CO2	4586280091546280126	0.042460968841568456
entry/cold/comp/H2O	4586279810338366463	0.04245901756969061
entry/cold/comp/CO	4484172831276401508	6.282272697715637e-09
entry/cold/comp/H2	4480690640839336216	3.563581288709794e-09
entry/cold/comp/OH	4526227726850318654	3.907956730657683e-06
entry/cold/comp/O	4493125399186320401	2.494833083376439e-08
entry/cold/comp/H	4448103097893386632	2.4407855199313723e-11
entry/cold/comp/O2	4594424311434833737	0.14589138631333246
entry/cold/comp/N2	4605210854977551093	0.7811124449779913
entry/cold/comp/Ar	4576516852069590693	0.009303721488595438
ref/cold/T9_frozen	4649287324828129836	690.7736189019101
ref/cold/V9_frozen	4651232338067957122	911.8960234645494
ref/cold/T9_reversible	4649287426667284584	690.7851966733697
ref/cold/V9_reversible	4651232426480793941	911.9060748403814
ref/cold/T9_irrev_fast	4649287442304887612	690.7869744630075
ref/cold/V9_irrev_fast	4651232407565402545	911.9039244093493
ref/cold/T_star	4652342811140232419	1052.284390853071
ref/cold/comp_irrev/CO2	4586280092451651039	0.042460975123841165
ref/cold/comp_irrev/H2O	4586280092450643865	0.04246097511685249
ref/cold/comp_irrev/CO	4342969442437507554	2.312271984161493e-18
ref/cold/comp_irrev/H2	4358189840909271758	2.3766286341490817e-17
ref/cold/comp_irrev/OH	4444697158774955865	1.3977293795281926e-11
ref/cold/comp_irrev/O	4368390415645272137	1.0977463384119515e-16
ref/cold/comp_irrev/H	4278434704135672716	1.0623313342878872e-22
ref/cold/comp_irrev/O2	4594424346906294981	0.1458923708441572
ref/cold/comp_irrev/N2	4605210854977551093	0.7811124449779913
ref/cold/comp_irrev/Ar	4576516852069590693	0.009303721488595438
eqhp/cold/T_star	4652342811140232419	1052.284390853071
eqhp/cold/H_entry	4663727716385649182	6371.648564305649
eqhp/cold/comp/CO2	4586280092448398186	0.04246097510126996
eqhp/cold/comp/H2O	4586280081841727915	0.04246090150271028
eqhp/cold/comp/CO	4447534676395588997	2.2571186282374047e-11
eqhp/cold/comp/H2	4448707891327342636	2.636204818043785e-11
eqhp/cold/comp/OH	4504656690231120001	1.471895104966378e-07
eqhp/cold/comp/O	4460543294383245296	1.6758841838749642e-10
eqhp/cold/comp/H	4404115561835411962	2.7144153192556664e-14
eqhp/cold/comp/O2	4594424345578518373	0.14589233399095317
eqhp/cold/comp/N2	4605210854977551093	0.7811124449779913
eqhp/cold/comp/Ar	4576516852069590693	0.009303721488595438
eqhp/cold/rise	4580785541544411136	0.017792434664443135
entry/dp/comp/CO2	4588247561122707495	0.05611303149156326
entry/dp/comp/H2O	4588245270344536262	0.05609713602487569
entry/dp/comp/CO	4509029518361034538	2.874560355615894e-07
entry/dp/comp/H2	4502984101077536787	1.1106286689394131e-07
entry/dp/comp/OH	4539868079435730855	3.214154388633756e-05
entry/dp/comp/O	4513127001863619842	5.319128538601417e-07
entry/dp/comp/H	4477335254769197561	2.1758261362851994e-09
entry/dp/comp/O2	4593686238731028133	0.12540575357302433
entry/dp/comp/N2	4605210854977551093	0.7811124449779913
entry/dp/comp/Ar	4576516852069590693	0.009303721488595438
ref/dp/T9_frozen	4650351087250161843	811.7094047498161
ref/dp/V9_frozen	4652288304451276720	1039.8910046489727
ref/dp/T9_reversible	4650351943366027650	811.806733855323
ref/dp/V9_reversible	4652288616425207629	1039.961939308286
ref/dp/T9_irrev_fast	4650352032585592404	811.8168769455028
ref/dp/V9_irrev_fast	4652288567244038966	1039.9507568052045
ref/dp/T_star	4653268780935683658	1262.825546594237
ref/dp/comp_irrev/CO2	4588247602549487378	0.05611331894759365
ref/dp/comp_irrev/H2O	4588247602475248276	0.0561133184324564
ref/dp/comp_irrev/CO	4393070696954196118	5.178603547500474e-15
ref/dp/comp_irrev/H2	4401906404782225274	2.017328266154773e-14
ref/dp/comp_irrev/OH	4472552787162643961	1.0302445216820735e-09
ref/dp/comp_irrev/O	4410086153120452996	7.024923178176509e-14
ref/dp/comp_irrev/H	4337430912184629347	9.568156038778751e-19
ref/dp/comp_irrev/O2	4593686530610451547	0.12541385485443154
ref/dp/comp_irrev/N2	4605210854977551093	0.7811124449779913
ref/dp/comp_irrev/Ar	4576516852069590693	0.009303721488595438
eqhp/dp/T_star	4653268780935683658	1262.825546594237
eqhp/dp/H_entry	4663112361614025850	5811.986659803539
eqhp/dp/comp/CO2	4588247601621791186	0.0561133125104082
eqhp/dp/comp/H2O	4588247352831960923	0.056111586184171634
eqhp/dp/comp/CO	4484360115554770431	6.4371906218183945e-09
eqhp/dp/comp/H2	4481395782777030927	3.9851520189168135e-09
eqhp/dp/comp/OH	4525274299566889975	3.457534837203714e-06
eqhp/dp/comp/O	4491007568804122229	1.7941017902444003e-08
eqhp/dp/comp/H	4447269123572204272	2.17131388327156e-11
eqhp/dp/comp/O2	4593686499341777925	0.12541298697439643
eqhp/dp/comp/N2	4605210854977551093	0.7811124449779913
eqhp/dp/comp/Ar	4576516852069590693	0.009303721488595438
eqhp/dp/rise	4594005572189159424	0.13426903751678765
entry/warm/comp/CO2	4590297587143591939	0.07817588910145905
entry/warm/comp/H2O	4590287503330059970	0.07803594807696881
entry/warm/comp/CO	4536444948751709997	1.9731543117177515e-05
entry/warm/comp/H2	4527703418925624196	5.157916538443551e-06
entry/warm/comp/OH	4554330612597756809	0.00030872596978631005
entry/warm/comp/O	4534239534040796956	1.375904824483343e-05
entry/warm/comp/H	4509329413491062070	3.033323515524914e-07
entry/warm/comp/O2	4591309489991935623	0.09221886211289575
entry/warm/comp/N2	4605210854977551093	0.7811124449779913
entry/warm/comp/Ar	4576516852069590693	0.009303721488595438
ref/warm/T9_frozen	4651997398599473769	998.8733359582958
ref/warm/V9_frozen	4653030337690208968	1208.609829486044
ref/warm/T9_reversible	4652006707907421435	999.9316817402427
ref/warm/V9_reversible	4653033078172241216	1209.2329429582023
ref/warm/T9_irrev_fast	4652007281036556676	999.9968389792343
ref/warm/V9_irrev_fast	4653032790535446506	1209.1675419229964
ref/warm/T_star	4654652282306411164	1577.3973382372997
ref/warm/comp_irrev/CO2	4590299008949489388	0.07819562062200774
ref/warm/comp_irrev/H2O	4590299005226485311	0.07819556895494716
ref/warm/comp_irrev/CO	4447533831792927170	2.256845722398665e-11
ref/warm/comp_irrev/H2	4450066229854678140	3.239832289707762e-11
ref/warm/comp_irrev/OH	4502398646707630324	1.0331444282480411e-07
ref/warm/comp_irrev/O	4454877110463483204	6.876815939491995e-11
ref/warm/comp_irrev/H	4401412940186731106	1.861618295156353e-14
ref/warm/comp_irrev/O2	4591314643163257802	0.09229037673104226
ref/warm/comp_irrev/N2	4605210854977551093	0.7811124449779913
ref/warm/comp_irrev/Ar	4576516852069590693	0.009303721488595438
eqhp/warm/T_star	4654652282306411164	1577.3973382372997
eqhp/warm/H_entry	4662117041647571016	4906.7484237440585
eqhp/warm/comp/CO2	4590298864144905806	0.0781936110547232
eqhp/warm/comp/H2O	4590296090868878123	0.07815512411847851
eqhp/warm/comp/CO	4521855436135741121	2.009589853030732e-06
eqhp/warm/comp/H2	4514620713833118683	6.900657603443453e-07
eqhp/warm/comp/OH	4545501435348000027	7.959414050350383e-05
eqhp/warm/comp/O	4520978115172650412	1.77268930265794e-06
eqhp/warm/comp/H	4491261187324421351	1.8780171194347284e-08
eqhp/warm/comp/O2	4591313244920130752	0.09227097220962133
eqhp/warm/comp/N2	4605210854977551093	0.7811124449779913
eqhp/warm/comp/Ar	4576516852069590693	0.009303721488595438
eqhp/warm/rise	4608069646142144512	1.1970040446612984
entry/hot/comp/CO2	4592648204074089202	0.1107972520803562
entry/hot/comp/H2O	4592640434833715201	0.11068943221101792
entry/hot/comp/CO	4563311042249764552	0.0012290991468572477
entry/hot/comp/H2	4552713395465211498	0.00023259853918099492
entry/hot/comp/OH	4567164654594361806	0.002176311244086216
entry/hot/comp/O	4551777580730848638	0.00020723322997999097
entry/hot/comp/H	4539895847844423716	3.232970994278297e-05
entry/hot/comp/O2	4586161135223282129	0.041635543537086435
entry/hot/comp/N2	4605210854977551093	0.7811124449779913
entry/hot/comp/Ar	4576516852069590693	0.009303721488595438
ref/hot/T9_frozen	4653247435782818574	1257.9722207344053
ref/hot/V9_frozen	4653900841345945308	1406.5394451775855
ref/hot/T9_reversible	4653308816264861714	1271.9285265370313
ref/hot/V9_reversible	4653929315186485836	1413.01364695527
ref/hot/T9_irrev_fast	4653310912630469458	1272.4051848903368
ref/hot/V9_irrev_fast	4653927388322135645	1412.5755287258864
ref/hot/T_star	4656527696657059080	2003.8171921230987
ref/hot/comp_irrev/CO2	4592736764998555460	0.11202628179816282
ref/hot/comp_irrev/H2O	4592736527827766438	0.11202299039227856
ref/hot/comp_irrev/CO	4499838338860317743	6.94290506093746e-08
ref/hot/comp_irrev/H2	4496435769990707352	4.2000535677837124e-08
ref/hot/comp_irrev/OH	4529450153797903061	6.637458525381782e-06
ref/hot/comp_irrev/O	4494844180229119252	3.146827812644855e-08
ref/hot/comp_irrev/H	4462194573841143980	2.1027299193377345e-10
ref/hot/comp_irrev/O2	4586147753238027967	0.041542687361184154
