# phase-4G NO-march oracle — key	u64 bits	repr
# pypy 3.11.15
clock/free/0/0	4721314337268570864	45042689.23149669
clock/killT/0/0	4620313227900654896	7.662501276388227
clock/killc/0/0	4759463390979219818	15574997145.360065
clock/free/0/1	4715644056912634103	18175120.21621796
clock/killT/0/1	4614144728199496033	3.0918864799461265
clock/killc/0/1	4759463390979219818	15574997145.360065
clock/free/0/2	4709536871420572129	7244628.337933035
clock/killT/0/2	4608229191700902600	1.2324302752232814
clock/killc/0/2	4759463390979219818	15574997145.360065
clock/free/0/3	4700045087416750116	1698330.9054498756
clock/killT/0/3	4598876231534565352	0.288913982552343
clock/killc/0/3	4759463390979219818	15574997145.360065
clock/free/0/4	4691253330904105549	437123.1444406852
clock/killT/0/4	4590022754985801643	0.07436182673288154
clock/killc/0/4	4759463390979219818	15574997145.360065
clock/free/1/0	4674801462831680694	33241.29828598483
clock/killT/1/0	4622120824567629458	10.535939255033814
clock/killc/1/0	4710733927667437610	8359473.843723336
clock/free/1/1	4668599574518986580	13413.155448730722
clock/killT/1/1	4616472606139529460	4.251343909925925
clock/killc/1/1	4710733927667437610	8359473.843723336
clock/free/1/2	4662600556391440046	5346.502521522036
clock/killT/1/2	4610310581398998483	1.694591628432012
clock/killc/1/2	4710733927667437610	8359473.843723336
clock/free/1/3	4653227152900251197	1253.3604271764773
clock/killT/1/3	4600827960890812639	0.39725672600947165
clock/killc/1/3	4710733927667437610	8359473.843723336
clock/free/1/4	4644382765300266725	322.59487788086545
clock/killT/1/4	4592032130356790412	0.10224751175771213
clock/killc/1/4	4710733927667437610	8359473.843723336
clock/free/2/0	4647774838589856893	518.8238413751966
clock/killT/2/0	4623738426343867018	13.409377233679397
clock/killc/2/0	4681781159939575007	102514.55720572498
clock/free/2/1	4641569863843548236	209.34997108121968
clock/killT/2/1	4617778039151931702	5.410801339905722
clock/killc/2/1	4681781159939575007	102514.55720572498
clock/free/2/2	4635572490991702721	83.44719127013651
clock/killT/2/2	4612038994762241134	2.156752981640742
clock/killc/2/2	4681781159939575007	102514.55720572498
clock/free/2/3	4626199490402398372	19.56221041250741
clock/killT/2/3	4602729254709853418	0.5055994694666002
clock/killc/2/3	4681781159939575007	102514.55720572498
clock/free/2/4	4617354923675260276	5.03499930448503
clock/killT/2/4	4593856562822842548	0.13013319678254265
clock/killc/2/4	4681781159939575007	102514.55720572498
clock/free/3/0	4630088829164497411	34.75983486821135
clock/killT/3/0	4625276422714801985	16.28281521232498
clock/killc/3/0	4662941039101043683	5656.169741951834
clock/free/3/1	4624085496838263974	14.025898280155456
clock/killT/3/1	4619083472164333943	6.570258769885519
clock/killc/3/1	4662941039101043683	5656.169741951834
clock/free/3/2	4617980635079972768	5.590742671110917
clock/killT/3/2	4613079689611289076	2.618914334849473
clock/killc/3/2	4662941039101043683	5656.169741951834
clock/free/3/3	4608581312164906817	1.3106167245391165
clock/killT/3/3	4603705119387977062	0.6139422129237289
clock/killc/3/3	4662941039101043683	5656.169741951834
clock/free/3/4	4599748448146224134	0.33733173078854894
clock/killT/3/4	4594861250508336932	0.15801888180737322
clock/killc/3/4	4662941039101043683	5656.169741951834
clock/free/4/0	4617583621271401111	5.238123574014614
clock/killT/4/0	4626085223602920766	19.156253190970567
clock/killc/4/0	4649583999964642341	724.5016770026456
clock/free/4/1	4611941887761852629	2.113628810567301
clock/killT/4/1	4620388905176736186	7.729716199865317
clock/killc/4/1	4649583999964642341	724.5016770026456
clock/free/4/2	4605763743484426278	0.8424954000163367
clock/killT/4/2	4614120384460337016	3.0810756880582026
