# phase-3A NOx oracle — key	u64 bits	repr
# cpython 3.14.3
kz/1f/1000.0	4481296409315595000	3.902952218214729e-09
kz/1f/1200.0	4522629118020884692	2.337256876735943e-06
kz/1f/1400.0	4552439159923290329	0.00022516536992290314
kz/1f/1500.0	4564097572348860061	0.0013996506752901657
kz/1f/1600.0	4574632683417247763	0.006923854947338287
kz/1f/1800.0	4591829839092423334	0.09944015651545132
kz/1f/2000.0	4605724796910823751	0.8381714617419583
kz/1f/2200.0	4617084625393392206	4.794926203647789
kz/1f/2400.0	4626466586038657960	20.511124732994773
kz/1f/2441.540385130793	4628271352607057449	26.922943607589477
kz/1f/2600.0	4634637471998216047	70.15977219774298
kz/1f/2800.0	4641287336466648566	201.32006006884302
kz/1f/3000.0	4647537721657456304	501.9333835801617
kz/1r/1000.0	4717434019864372213	24843251.834934194
kz/1r/1200.0	4717923525900347591	26666803.921791818
kz/1r/1400.0	4718295021289715607	28050732.09172782
kz/1r/1500.0	4718448962810403515	28624208.945276957
kz/1r/1600.0	4718586241160395554	29135610.65069116
kz/1r/1800.0	4718820510289664176	30008331.165184677
kz/1r/2000.0	4719012968003718442	30725292.02021519
kz/1r/2200.0	4719173848645485123	31324619.114198934
kz/1r/2400.0	4719310310450650852	31832978.953093424
kz/1r/2441.540385130793	4719336094781312069	31929033.06995799
kz/1r/2600.0	4719427506450788875	32269568.075426143
kz/1r/2800.0	4719529238646324742	32648550.03649714
kz/1r/3000.0	4719618372481398460	32980599.447561964
kz/2f/1000.0	4684978853648451843	167022.24996716538
kz/2f/1200.0	4691255085703853326	437225.28722937487
kz/2f/1400.0	4695896235443989143	890463.5151036558
kz/2f/1500.0	4697871458764713543	1192243.5473317073
kz/2f/1600.0	4699388868905451470	1545543.1270866278
kz/2f/1800.0	4702422253295504213	2406463.9341444173
kz/2f/2000.0	4704701444353643291	3467794.9762977487
kz/2f/2200.0	4706824793323173130	4718808.78170515
kz/2f/2400.0	4708357485807752481	6146239.892537386
kz/2f/2441.540385130793	4708698191572038543	6463546.862118616
kz/2f/2600.0	4710064464806827247	7735987.96877025
kz/2f/2800.0	4711347983602440358	9474107.99613602
kz/2f/3000.0	4712353671588409500	11347347.844841294
kz/2r/1000.0	4570100727147733001	0.0034496297404622606
kz/2r/1200.0	4593960997270767331	0.13303183499879542
kz/2r/1400.0	4611013558857099929	1.8506839803873503
kz/2r/1500.0	4617702841347596640	5.344012272886488
kz/2r/1600.0	4623830023774670685	13.572086956358982
kz/2r/1800.0	4634261798416843272	64.82112951251486
kz/2r/2000.0	4642260728586008543	228.98552804713742
kz/2r/2200.0	4648919308808634934	648.9350414146381
kz/2r/2400.0	4654565753264469570	1557.7229119384579
kz/2r/2441.540385130793	4655792800519244404	1836.7211561991398
kz/2r/2600.0	4659450944092094196	3288.9734113140676
kz/2r/2800.0	4663622057288351347	6275.552175119158
kz/2r/3000.0	4667293969309598744	11038.27340763998
kz/3f/1000.0	4721345060986094801	45271598.765145905
kz/3f/1200.0	4721818304645853197	48797538.79415903
kz/3f/1400.0	4722178738725771893	51482981.95647136
kz/3f/1500.0	4722328406486213409	52598093.668401964
kz/3f/1600.0	4722462022660129920	53593611.74121952
kz/3f/1800.0	4722690359745370315	55294855.59806975
kz/3f/2000.0	4722878237175274766	56694651.53191577
kz/3f/2200.0	4723035487309653859	57866256.331984304
kz/3f/2400.0	4723169008589758507	58861067.390808426
kz/3f/2441.540385130793	4723194251464137047	59049141.46086376
kz/3f/2600.0	4723283779448658026	59716176.925217465
kz/3f/2800.0	4723383480626129991	60459008.583580546
kz/3f/3000.0	4723470890960683978	61110266.3261791
kz/3r/1000.0	4570599331287774766	0.00366586481719968
kz/3r/1200.0	4597084612718388141	0.21972957974938137
kz/3r/1400.0	4616290520264881622	4.089619165531493
kz/3r/1500.0	4623603922105272330	13.1704497095234
kz/3r/1600.0	4630354307615770692	36.646172718742065
kz/3r/1800.0	4641301294213637519	201.71676309806614
kz/3r/2000.0	4650155100458041675	789.4282861184705
kz/3r/2200.0	4657519601446479710	2410.700459566825
kz/3r/2400.0	4663442003509837772	6111.794217526865
kz/3r/2441.540385130793	4664720054558473818	7274.174874856684
kz/3r/2600.0	4668608162028071585	13428.7760367592
kz/3r/2800.0	4672977006094962828	26367.314200357112
kz/3r/3000.0	4676736125768956318	47317.823815333875
kcheck/1000.0	4607250912012560394	1.0152085483191535
kpno/1000.0	4546015402097423597	8.655968883238318e-05
mO/1000.0	4617175242397634768	4.875410271273907
hairA/1000.0	4671684161306206216	21663.972258001595
kcheck/1200.0	4607287321858440873	1.0232931581630658
kpno/1200.0	4558032866185688909	0.0005305698278854437
mO/1200.0	4613983550078940667	3.020309015743576
hairA/1200.0	4673529126863736515	28375.91785611097
kcheck/1400.0	4607310630937171839	1.0284688133410496
kpno/1400.0	4566579679684478761	0.001937871908414166
mO/1400.0	4612130390514498342	2.1973408490442976
hairA/1400.0	4675077658212406834	35250.884169381476
kcheck/1500.0	4607319476837590909	1.0304329978048081
kpno/1500.0	4569649021024902847	0.0032537334365832777
mO/1500.0	4611456507004726628	1.949038226829395
hairA/1500.0	4675557193088807477	38739.95960459524
kcheck/1600.0	4607327109502253267	1.0321277898142867
kpno/1600.0	4572553557522356477	0.005120500697648686
mO/1600.0	4610615220050672856	1.7622349974879423
hairA/1600.0	4676040852028598003	42259.041550232
kcheck/1800.0	4607340020051256847	1.0349945075671518
kpno/1800.0	4577438430737560287	0.010902405638881727
mO/1800.0	4609457325738162238	1.5051308123215814
hairA/1800.0	4677018995452251189	49375.971641324846
kcheck/2000.0	4607351302874766597	1.0374997976558131
kpno/2000.0	4581408797267355477	0.019954787332700025
mO/2000.0	4608720778999043190	1.3415845826250723
hairA/2000.0	4678009390014662831	56582.040498749695
kcheck/2200.0	4607362248516210423	1.0399302182858585
kpno/2200.0	4584875708100415206	0.032716101110308135
mO/2200.0	4608228389087138958	1.2322520591672261
hairA/2200.0	4679009908654610277	63861.77171520776
kcheck/2400.0	4607373784841897213	1.0424917971652683
kpno/2400.0	4587277693382177880	0.04938322213920604
mO/2400.0	4607888229442260226	1.1567214452086891
hairA/2400.0	4679629461199501769	71203.21954319546
kcheck/2441.540385130793	4607376322461664398	1.0430552619439228
kpno/2441.540385130793	4587847492474191619	0.05333699758523205
mO/2441.540385130793	4607831434054163645	1.14411033569722
hairA/2441.540385130793	4679734718349695888	72734.91266999976
kcheck/2600.0	4607386604575264570	1.0453383497960673
kpno/2600.0	4589704374236901014	0.06994340625754555
mO/2600.0	4607648531363376950	1.1034977799817631
hairA/2600.0	4680137581426905217	78597.34201818892
kcheck/2800.0	4607401222456166999	1.0485841713858883
kpno/2800.0	4591453843829753122	0.09422217404337066
mO/2800.0	4607478197453929904	1.0656760543532577
hairA/2800.0	4680648856537217520	86037.37408182747
kcheck/3000.0	4607417999743370009	1.0523094774945945
kpno/3000.0	4593450566246628048	0.12193226405586732
mO/3000.0	4607357549966839377	1.0388869307470439
hairA/3000.0	4681162935028321408	93518.20070509799
xnoeq/0.005/1600.0	4566720072750132970	0.0019835046035420094
ntot/0.005/1600.0	4607205700509506564	1.005169577985499
xnoeq/0.005/2000.0	4575558346869946571	0.007726740008463471
ntot/0.005/2000.0	4607206231578669580	1.0052874990279888
xnoeq/0.005/2400.0	4581153974172143780	0.019070692121730418
ntot/0.005/2400.0	4607210106813509763	1.006147974017069
xnoeq/0.005/2800.0	4585345317350268071	0.035974669871330626
ntot/0.005/2800.0	4607227620265281068	1.010036741496502
xnoeq/0.01/1600.0	4566372745083200528	0.0018930001195605096
ntot/0.01/1600.0	4607228958385111348	1.0103338637855588
xnoeq/0.01/2000.0	4575150849531493729	0.007373292408757366
ntot/0.01/2000.0	4607229640136509983	1.0104852430055258
xnoeq/0.01/2400.0	4580900166300208092	0.01819011917406131
ntot/0.01/2400.0	4607234399015178906	1.011541926339453
xnoeq/0.01/2800.0	4585101982076746727	0.034286192225287775
ntot/0.01/2800.0	4607255417303212779	1.0162089238021348
xnoeq/0.0204/1600.0	4565463305897446142	0.001695796931372839
ntot/0.0204/1600.0	4607277325018422869	1.0210734137707693
xnoeq/0.0204/2000.0	4574263735840184359	0.006603843935669962
ntot/0.0204/2000.0	4607278223376013797	1.0212728892271283
xnoeq/0.0204/2400.0	4580350299936896916	0.016282386995889533
ntot/0.0204/2400.0	4607284451936853795	1.0226559075580972
xnoeq/0.0204/2800.0	4584502680320998207	0.030688850462861735
ntot/0.0204/2800.0	4607311991730449371	1.0287709701467438
xnoeq/0.02717919071928212/1600.0	4564831535109694111	0.0015588034792541128
ntot/0.02717919071928212/1600.0	4607308848921813281	1.0280731264447882
xnoeq/0.02717919071928212/2000.0	4573647797672088980	0.006069602735697361
ntot/0.02717919071928212/2000.0	4607309856026026735	1.028296748501983
xnoeq/0.02717919071928212/2400.0	4579779035581956089	0.014962707810440167
ntot/0.02717919071928212/2400.0	4607316970066476364	1.0298763828030415
xnoeq/0.02717919071928212/2800.0	4583796647133618971	0.02823930577293075
ntot/0.02717919071928212/2800.0	4607348829055722952	1.036950499483611
xnoeq/0.04/1600.0	4563509906707042004	0.0012722210021793206
ntot/0.04/1600.0	4607368461599240271	1.0413097998525875
xnoeq/0.04/2000.0	4572359893547310766	0.0049525239756672956
ntot/0.04/2000.0	4607369641555447757	1.0415718027625076
xnoeq/0.04/2400.0	4578196215203679503	0.012216952141989283
ntot/0.04/2400.0	4607378566293012731	1.0435534925891818
xnoeq/0.04/2800.0	4582362706288027412	0.023264324076911327
ntot/0.04/2800.0	4607419860833873862	1.0527227226002522
xnoeq/0.0677/1600.0	4536779583053284066	2.0865328232036187e-05
ntot/0.0677/1600.0	4607497621114895617	1.0699889734785872
xnoeq/0.0677/2000.0	4557543956399715114	0.0004829216863376113
ntot/0.0677/2000.0	4607502124076044106	1.0709888317077962
xnoeq/0.0677/2400.0	4568913236149063011	0.002934637612236267
ntot/0.0677/2400.0	4607527985210548139	1.0767311571016573
xnoeq/0.0677/2800.0	4576799065623953691	0.009793283966587787
ntot/0.0677/2800.0	4607608038856985185	1.0945066373975794
xnoeq/0.08/1600.0	4497008993175683879	4.579380852006497e-08
ntot/0.08/1600.0	4607726222303743528	1.120748634141714
xnoeq/0.08/2000.0	4532213201142404892	1.0326306790746672e-05
ntot/0.08/2000.0	4607726464307119039	1.12080236968562
xnoeq/0.08/2400.0	4555612547136555428	0.00037821978038379334
ntot/0.08/2400.0	4607730165838263544	1.1216242747062193
xnoeq/0.08/2800.0	4571413906956049713	0.004132011401757383
ntot/0.08/2800.0	4607767137294162291	1.1298335870247598
