# phase-3E nozzle-strand oracle — key	u64 bits	repr
# pypy 3.11.15
prim/dp/comp/CO2	4588247561122707495	0.05611303149156326
prim/dp/comp/H2O	4588245270344536262	0.05609713602487569
prim/dp/comp/CO	4509029518361034538	2.874560355615894e-07
prim/dp/comp/H2	4502984101077536787	1.1106286689394131e-07
prim/dp/comp/OH	4539868079435730855	3.214154388633756e-05
prim/dp/comp/O	4513127001863619842	5.319128538601417e-07
prim/dp/comp/H	4477335254769197561	2.1758261362851994e-09
prim/dp/comp/O2	4593686238731028133	0.12540575357302433
prim/dp/comp/N2	4605210854977551093	0.7811124449779913
prim/dp/comp/Ar	4576516852069590693	0.009303721488595438
prim/dp/mass_per_air	4584231149753163643	0.029746789561925873
prim/dp/h_absB/entry	4663112361614025850	5811.986659803539
prim/dp/S/entry/pt9	4642801427137367693	244.35310516330756
prim/dp/S/entry/p9	4643282746339518455	260.0660393402208
prim/dp/S/entry/bar	4643145813327293580	254.14114938522505
prim/dp/h_absB/mid	13888042233812399980	-7228.829651040822
prim/dp/S/mid/pt9	4642373759521220056	232.19806044436586
prim/dp/S/mid/p9	4642926609243907897	247.91099462127912
prim/dp/S/mid/bar	4642718145711145942	241.98610466628332
prim/dp/h_absB/exit	13892310735211125234	-14030.018115383547
prim/dp/S/exit/pt9	4642073370843320822	223.6605007249306
prim/dp/S/exit/p9	4642626220566008664	239.3734349018439
prim/dp/S/exit/bar	4642417757033246708	233.44854494684807
prim/dp/x_no_e/entry	4553309390629246001	0.000253365415943843
prim/dp/x_no_e/mid	4530763407770656461	7.870261285583026e-06
prim/dp/x_no_e/exit	4508311644327572431	2.494521006665431e-07
prim/hot/comp/CO2	4592648204074089202	0.1107972520803562
prim/hot/comp/H2O	4592640434833715201	0.11068943221101792
prim/hot/comp/CO	4563311042249764552	0.0012290991468572477
prim/hot/comp/H2	4552713395465211498	0.00023259853918099492
prim/hot/comp/OH	4567164654594361806	0.002176311244086216
prim/hot/comp/O	4551777580730848638	0.00020723322997999097
prim/hot/comp/H	4539895847844423716	3.232970994278297e-05
prim/hot/comp/O2	4586161135223282129	0.041635543537086435
prim/hot/comp/N2	4605210854977551093	0.7811124449779913
prim/hot/comp/Ar	4576516852069590693	0.009303721488595438
prim/hot/mass_per_air	4584457199792600327	0.03053105818223847
prim/hot/h_absB/entry	4659958750269714995	3519.896925350907
prim/hot/S/entry/pt9	4643445399995120416	269.3118292148447
prim/hot/S/entry/p9	4643777224541158401	288.17387087357935
prim/hot/S/entry/bar	4643670017004070209	282.07982793783964
prim/hot/h_absB/mid	13899162985327990039	-40440.75387362594
prim/hot/S/mid/pt9	4642563838118566891	237.60041910709637
prim/hot/S/mid/p9	4643219351514812119	256.46246076583105
prim/hot/S/mid/bar	4643013072136466479	250.36841783009137
prim/hot/h_absB/exit	13900158609638371506	-47684.874155612095
prim/hot/S/exit/pt9	4642243905275284074	228.50738079806916
prim/hot/S/exit/p9	4642907554367360044	247.36942245680382
prim/hot/S/exit/bar	4642693139293183662	241.27537952106417
prim/hot/x_no_e/entry	4569819974199580383	0.003327872557934749
prim/hot/x_no_e/mid	4526819221002553956	4.408971765709235e-06
prim/hot/x_no_e/exit	4504375433081636857	1.3974469573841745e-07
dp/cool/far	4581585113324064586	0.020566506538229924
dp/cool/Tt9	4652342732888277219	1052.2665984184066
dp/cool/pt9	4688354166737185681	268369.5796801383
dp/cool/p9	4677104761256804352	50000.0
dp/cool/V9_cycle	4651232338067957035	911.8960234645396
dp/cool/T9_cycle	4649287324828129908	690.7736189019183
nz/cool/T9_frozen	4649287324828129836	690.7736189019101
nz/cool/T9_eq	4649287426667284584	690.7851966733697
nz/cool/V9_frozen	4651232338067957122	911.8960234645494
nz/cool/V9_eq	4651232426480793941	911.9060748403814
nz/cool/dV9	4576947845454823424	0.010051375831949372
nz/cool/dV9_frac	4532624162315567300	1.1022502098168351e-05
nz/cool/co_frac_entry	4504685573237530646	1.4795403731056196e-07
