# slice U oracle (cpython) - rungs 49+50+51+52 readers - key	u64 bits (or an integer)	repr
A/lp/0/phi_lim	4604975654982605865	0.755
A/lp/0/r	4602678819172646912	0.5
A/lp/0/rho	4607182418800017408	1.0
A/lp/0/hold_err	4380876537524649984	7.771561172376096e-16
A/lp/0/s_lp_bare	4597814931575086775	0.23999999999999996
A/lp/0/s_hp_bare	4600877379321698715	0.4000000000000001
A/lp/0/relief_lp	4581287518926214688	0.019534018561691124
A/lp/0/relief_hp	13797504643057770240	-0.0064901071056551185
A/lp/0/relief_watched	4581287518926214688	0.019534018561691124
A/lp/0/relief_other	13797504643057770240	-0.0064901071056551185
A/lp/0/s_min_other	4603579539098121013	0.6000000000000002
A/lp/0/min_phi_lp_bare	4604799708185174898	0.7354659814383082
A/lp/0/min_phi_lp_lim	4604975654982605859	0.7549999999999993
A/lp/0/min_phi_hp_bare	4605932210771652934	0.861199026133854
A/lp/0/min_phi_hp_lim	4605873753083767688	0.8547089190281989
A/lp/0/fuel_removed	4566319660385347301	0.0018814892106128686
A/lp/0/Tt4_peak_bare	4655171289185402739	1695.4058398939349
A/lp/0/Tt4_peak_lim	4655281459442569190	1720.455656190397
A/lp/0/nu_hp_end	4606801515199332456	0.957711205235694
A/lp/0/nu_hp_end_bare	4606805133596097078	0.9581129279757252
A/lp/0/n_engaged	27	27
A/lp/0/both_edges_inside_ramp	0	0
A/lp/0/spool	1	'lp'
A/lp/0/s_eng	4590429028186199163	0.08
A/lp/0/s_rel	4603579539098121013	0.6000000000000002
A/lp/1/phi_lim	4604930618986332160	0.75
A/lp/1/r	4602678819172646912	0.5
A/lp/1/rho	4607182418800017408	1.0
A/lp/1/hold_err	4380876537524649984	7.771561172376096e-16
A/lp/1/s_lp_bare	4597814931575086775	0.23999999999999996
A/lp/1/s_hp_bare	4600877379321698715	0.4000000000000001
A/lp/1/relief_lp	4579531913055117760	0.014534018561691009
A/lp/1/relief_hp	13800522501219274368	-0.010402863611239654
A/lp/1/relief_watched	4579531913055117760	0.014534018561691009
A/lp/1/relief_other	13800522501219274368	-0.010402863611239654
A/lp/1/s_min_other	4602858963157741733	0.5200000000000001
A/lp/1/min_phi_lp_bare	4604799708185174898	0.7354659814383082
A/lp/1/min_phi_lp_lim	4604930618986332153	0.7499999999999992
A/lp/1/min_phi_hp_bare	4605932210771652934	0.861199026133854
A/lp/1/min_phi_hp_lim	4605838510106286604	0.8507961625226144
A/lp/1/fuel_removed	4562185044695913744	0.0009849373480375657
A/lp/1/Tt4_peak_bare	4655171289185402739	1695.4058398939349
A/lp/1/Tt4_peak_lim	4655324053515797908	1730.1404271725087
A/lp/1/nu_hp_end	4606803419138325457	0.9579225849264451
A/lp/1/nu_hp_end_bare	4606805133596097078	0.9581129279757252
A/lp/1/n_engaged	22	22
A/lp/1/both_edges_inside_ramp	0	0
A/lp/1/spool	1	'lp'
A/lp/1/s_eng	4591870180066957722	0.1
A/lp/1/s_rel	4602858963157741733	0.5200000000000001
A/lp/2/phi_lim	4604885582990058455	0.745
A/lp/2/r	4602678819172646912	0.5
A/lp/2/rho	4607182418800017408	1.0
A/lp/2/hold_err	4382002437431492608	8.881784197001252e-16
A/lp/2/s_lp_bare	4597814931575086775	0.23999999999999996
A/lp/2/s_hp_bare	4600877379321698715	0.4000000000000001
A/lp/2/relief_lp	4576649609293600576	0.009534018561690893
A/lp/2/relief_hp	13799648838804605248	-0.008887300910434548
A/lp/2/relief_watched	4576649609293600576	0.009534018561690893
A/lp/2/relief_other	13799648838804605248	-0.008887300910434548
A/lp/2/s_min_other	4601958243232267635	0.46000000000000013
A/lp/2/min_phi_lp_bare	4604799708185174898	0.7354659814383082
A/lp/2/min_phi_lp_lim	4604885582990058447	0.7449999999999991
A/lp/2/min_phi_hp_bare	4605932210771652934	0.861199026133854
A/lp/2/min_phi_hp_lim	4605852161081515809	0.8523117252234195
A/lp/2/fuel_removed	4555931966535674497	0.0003955355407067388
A/lp/2/Tt4_peak_bare	4655171289185402739	1695.4058398939349
A/lp/2/Tt4_peak_lim	4655295163744197780	1723.571653621072
A/lp/2/nu_hp_end	4606804509257772769	0.9580436124974449
A/lp/2/nu_hp_end_bare	4606805133596097078	0.9581129279757252
A/lp/2/n_engaged	17	17
A/lp/2/both_edges_inside_ramp	1	1
A/lp/2/spool	1	'lp'
A/lp/2/s_eng	4593311331947716281	0.12000000000000001
A/lp/2/s_rel	4601597955262077995	0.4400000000000001
A/lp/3/phi_lim	4604840546993784750	0.74
A/lp/3/r	4602678819172646912	0.5
A/lp/3/rho	4607182418800017408	1.0
A/lp/3/hold_err	4380876537524649984	7.771561172376096e-16
A/lp/3/s_lp_bare	4597814931575086775	0.23999999999999996
A/lp/3/s_hp_bare	4600877379321698715	0.4000000000000001
A/lp/3/relief_lp	4571877389655743104	0.004534018561691
A/lp/3/relief_hp	13791894491165100544	-0.0027651630048250997
A/lp/3/relief_watched	4571877389655743104	0.004534018561691
A/lp/3/relief_other	13791894491165100544	-0.0027651630048250997
A/lp/3/s_min_other	4600517091351509075	0.38000000000000006
A/lp/3/min_phi_lp_bare	4604799708185174898	0.7354659814383082
A/lp/3/min_phi_lp_lim	4604840546993784743	0.7399999999999992
A/lp/3/min_phi_hp_bare	4605932210771652934	0.861199026133854
A/lp/3/min_phi_hp_lim	4605907304397496636	0.8584338631290289
A/lp/3/fuel_removed	4546641586663470762	9.504607216844854e-05
A/lp/3/Tt4_peak_bare	4655171289185402739	1695.4058398939349
A/lp/3/Tt4_peak_lim	4655198387921694523	1701.5673791644647
A/lp/3/nu_hp_end	4606804994644278205	0.9580975012248626
A/lp/3/nu_hp_end_bare	4606805133596097078	0.9581129279757252
A/lp/3/n_engaged	10	10
A/lp/3/both_edges_inside_ramp	1	1
A/lp/3/spool	1	'lp'
A/lp/3/s_eng	4594932627813569659	0.16
A/lp/3/s_rel	4599796515411129795	0.34
A/hp/0/phi_lim	4606281698874543309	0.9
A/hp/0/r	4602678819172646912	0.5
A/hp/0/rho	4607182418800017408	1.0
