margin/v0/lp/vsv	0x0.0p+0
margin/v0/lp/phi_op	0x1.b83972b3232dbp-1
margin/v0/lp/n	0x1.b3dcb10ae6ec8p-1
margin/v0/lp/m	0x1.76c28fdbb72fcp-1
margin/v0/lp/phi_surge	0x1.199999999999ap-1
margin/v0/lp/phi_surge_design	0x1.199999999999ap-1
margin/v0/lp/m_phi	0x1.3d3fb23313282p-2
margin/v0/lp/tan_b1	0x1.29bd32e4b228bp+0
margin/v0/lp/tan_b1_crit	0x1.d1745d1745d17p+0
margin/v0/lp/m_i	0x1.4f6e546527518p-1
margin/v0/lp/pi_op	0x1.392c720aa10c5p+1
margin/v0/lp/sm_n	0x1.be1fe488a4410p-4
margin/v0/hp/vsv	0x0.0p+0
margin/v0/hp/phi_op	0x1.ed6f2de5eb6b7p-1
margin/v0/hp/n	0x1.ce56a45fd599cp-1
margin/v0/hp/m	0x1.bd92d28125bc1p-1
margin/v0/hp/phi_surge	0x1.199999999999ap-1
margin/v0/hp/phi_surge_design	0x1.199999999999ap-1
margin/v0/hp/m_phi	0x1.a7ab2898a3a3ap-2
margin/v0/hp/tan_b1	0x1.09a1d2ee9e142p+0
margin/v0/hp/tan_b1_crit	0x1.d1745d1745d17p+0
margin/v0/hp/m_i	0x1.8fa514514f7aap-1
margin/v0/hp/pi_op	0x1.32172e8bf3450p+2
margin/v0/hp/sm_n	0x1.0c1c5c007785ep-1
margin/vlp/lp/vsv	0x1.3333333333333p-3
margin/vlp/lp/phi_op	0x1.95f3d964646bcp-1
margin/vlp/lp/n	0x1.d70cc6332cc56p-1
margin/vlp/lp/m	0x1.757bf358d316ep-1
margin/vlp/lp/phi_surge	0x1.042379336fbddp-1
margin/vlp/lp/phi_surge_design	0x1.199999999999ap-1
margin/vlp/lp/m_phi	0x1.23a0c061e95bep-2
margin/vlp/lp/tan_b1	0x1.1c79a5b4225fdp+0
margin/vlp/lp/tan_b1_crit	0x1.d1745d1745d17p+0
margin/vlp/lp/m_i	0x1.69f56ec646e34p-1
margin/vlp/lp/pi_op	0x1.381b8209cf150p+1
margin/vlp/lp/sm_n	0x1.6a4dcf5579230p-3
margin/vlp/hp/vsv	0x0.0p+0
margin/vlp/hp/phi_op	0x1.ed6f2de5eb6b7p-1
margin/vlp/hp/n	0x1.ce56a45fd599cp-1
margin/vlp/hp/m	0x1.bd92d28125bc1p-1
margin/vlp/hp/phi_surge	0x1.199999999999ap-1
margin/vlp/hp/phi_surge_design	0x1.199999999999ap-1
margin/vlp/hp/m_phi	0x1.a7ab2898a3a3ap-2
margin/vlp/hp/tan_b1	0x1.09a1d2ee9e142p+0
margin/vlp/hp/tan_b1_crit	0x1.d1745d1745d17p+0
margin/vlp/hp/m_i	0x1.8fa514514f7aap-1
margin/vlp/hp/pi_op	0x1.32172e8bf3450p+2
margin/vlp/hp/sm_n	0x1.0c1c5c007785ep-1
margin/vhp/lp/vsv	0x0.0p+0
margin/vhp/lp/phi_op	0x1.b861dee2ad8c8p-1
margin/vhp/lp/n	0x1.b3e73daa44210p-1
margin/vhp/lp/m	0x1.76ee0c0fc1de9p-1
margin/vhp/lp/phi_surge	0x1.199999999999ap-1
margin/vhp/lp/phi_surge_design	0x1.199999999999ap-1
margin/vhp/lp/m_phi	0x1.3d908a9227e5cp-2
margin/vhp/lp/tan_b1	0x1.29a1de90bb0b5p+0
