cb/cpg/flow_press/1100/0.05/lp/phi/feasible	0x1.0000000000000p+5
cb/cpg/flow_press/1100/0.05/lp/phi/reason	0x0.0p+0
cb/cpg/flow_press/1100/0.05/lp/phi/goal	0x1.a16d780edfed5p-1
cb/cpg/flow_press/1100/0.05/lp/phi/has_last	0x0.0p+0
cb/cpg/flow_press/1100/0.05/lp/phi/b_star	0x1.e273639999998p-6
cb/cpg/flow_press/1100/0.05/lp/phi/goal	0x1.a16d780edfed5p-1
cb/cpg/flow_press/1100/0.05/lp/phi/resid	0x1.afb4000000000p-39
cb/cpg/flow_press/1100/0.05/lp/phi/bare_phi	0x1.a16d780edfed5p-1
cb/cpg/flow_press/1100/0.05/lp/phi/bare_m_phi	0x1.0fa7bcea8ca76p-2
cb/cpg/flow_press/1100/0.05/lp/phi/bare_m_i	0x1.2ee90f21c1008p-1
cb/cpg/flow_press/1100/0.05/lp/m_phi/feasible	0x1.0800000000000p+5
cb/cpg/flow_press/1100/0.05/lp/m_phi/reason	0x0.0p+0
cb/cpg/flow_press/1100/0.05/lp/m_phi/goal	0x1.0fa7bcea8ca76p-2
cb/cpg/flow_press/1100/0.05/lp/m_phi/has_last	0x0.0p+0
cb/cpg/flow_press/1100/0.05/lp/m_phi/b_star	0x1.17c3eceb851ecp-7
cb/cpg/flow_press/1100/0.05/lp/m_phi/goal	0x1.0fa7bcea8ca76p-2
cb/cpg/flow_press/1100/0.05/lp/m_phi/resid	0x1.8154000000000p-39
cb/cpg/flow_press/1100/0.05/lp/m_phi/bare_phi	0x1.a16d780edfed5p-1
cb/cpg/flow_press/1100/0.05/lp/m_phi/bare_m_phi	0x1.0fa7bcea8ca76p-2
cb/cpg/flow_press/1100/0.05/lp/m_phi/bare_m_i	0x1.2ee90f21c1008p-1
cb/cpg/flow_press/1100/0.05/hp/phi/feasible	0x1.9000000000000p+4
cb/cpg/flow_press/1100/0.05/hp/phi/reason	0x1.0000000000000p+0
cb/cpg/flow_press/1100/0.05/hp/phi/goal	0x1.e7db0aff21fdep-1
cb/cpg/flow_press/1100/0.05/hp/phi/has_last	0x1.0000000000000p+0
cb/cpg/flow_press/1100/0.05/hp/phi/b_last	0x1.ccccccccccccdp-2
cb/cpg/flow_press/1100/0.05/hp/phi/resid_last	-0x1.5fafd27aab340p-7
cb/cpg/flow_press/1100/0.05/hp/m_phi/feasible	0x1.7000000000000p+5
cb/cpg/flow_press/1100/0.05/hp/m_phi/reason	0x0.0p+0
cb/cpg/flow_press/1100/0.05/hp/m_phi/goal	0x1.9c82e2cb10c88p-2
cb/cpg/flow_press/1100/0.05/hp/m_phi/has_last	0x0.0p+0
cb/cpg/flow_press/1100/0.05/hp/m_phi/b_star	0x1.7594ad6666668p-2
cb/cpg/flow_press/1100/0.05/hp/m_phi/goal	0x1.9c82e2cb10c88p-2
cb/cpg/flow_press/1100/0.05/hp/m_phi/resid	-0x1.bad4000000000p-39
cb/cpg/flow_press/1100/0.05/hp/m_phi/bare_phi	0x1.e7db0aff21fdep-1
cb/cpg/flow_press/1100/0.05/hp/m_phi/bare_m_phi	0x1.9c82e2cb10c88p-2
cb/cpg/flow_press/1100/0.05/hp/m_phi/bare_m_i	0x1.8991dea7d270ap-1
cb/cpg/flow_press/1100/0.10/lp/phi/feasible	0x1.1800000000000p+5
cb/cpg/flow_press/1100/0.10/lp/phi/reason	0x0.0p+0
cb/cpg/flow_press/1100/0.10/lp/phi/goal	0x1.a16d780edfed5p-1
cb/cpg/flow_press/1100/0.10/lp/phi/has_last	0x0.0p+0
cb/cpg/flow_press/1100/0.10/lp/phi/b_star	0x1.e860005eb851ep-5
cb/cpg/flow_press/1100/0.10/lp/phi/goal	0x1.a16d780edfed5p-1
cb/cpg/flow_press/1100/0.10/lp/phi/resid	-0x1.ac00000000000p-42
cb/cpg/flow_press/1100/0.10/lp/phi/bare_phi	0x1.a16d780edfed5p-1
cb/cpg/flow_press/1100/0.10/lp/phi/bare_m_phi	0x1.0fa7bcea8ca76p-2
cb/cpg/flow_press/1100/0.10/lp/phi/bare_m_i	0x1.2ee90f21c1008p-1
cb/cpg/flow_press/1100/0.10/lp/m_phi/feasible	0x1.f000000000000p+4
cb/cpg/flow_press/1100/0.10/lp/m_phi/reason	0x0.0p+0
cb/cpg/flow_press/1100/0.10/lp/m_phi/goal	0x1.0fa7bcea8ca76p-2
cb/cpg/flow_press/1100/0.10/lp/m_phi/has_last	0x0.0p+0
cb/cpg/flow_press/1100/0.10/lp/m_phi/b_star	0x1.29466347ae146p-6
cb/cpg/flow_press/1100/0.10/lp/m_phi/goal	0x1.0fa7bcea8ca76p-2
cb/cpg/flow_press/1100/0.10/lp/m_phi/resid	-0x1.5e42000000000p-38
cb/cpg/flow_press/1100/0.10/lp/m_phi/bare_phi	0x1.a16d780edfed5p-1
