# slice Q smoke — rung 37 CombustorTransient — key	u64 bits (or an integer)	repr
A/band/0/m_lo	4598265291537823826	0.255
A/band/0/pic_max	4621133384695213350	8.78189368417095
A/band/0/m_hi	4610755153182000346	1.7933063943494774
A/band/0/pic_min	4607973866721414597	1.175736741025376
A/pic/0/0/pi_c	4621133384695213350	8.78189368417095
A/pic/0/0/flowcoef	4599075939470750515	0.3
A/pic/0/0/tau_c	4611866654862314792	2.080218691656814
A/pic/0/0/tt3	4648451256303036378	595.7236321654593
A/pic/0/0/eta_c	4605208716263322288	0.780875
A/pic/0/1/pi_c	4617038146468136467	4.753644625264786
A/pic/0/1/flowcoef	4608105143828136859	1.204886114323222
A/pic/0/1/tau_c	4610060093473169532	1.638972135902832
A/pic/0/1/tt3	4646964709908549556	469.3614367248913
A/pic/0/1/eta_c	4606015800372046833	0.8704793360315063
A/pic/0/2/pi_c	4607973866721414597	1.175736741025376
A/pic/0/2/flowcoef	4611933203511401781	2.109772228646444
A/pic/0/2/tau_c	4607520022720713054	1.0749631291920063
A/pic/0/2/tt3	4644123249017548245	307.843085121099
A/pic/0/2/eta_c	4603872778558868214	0.6325561201050209
A/band/1/m_lo	4599075939470750515	0.3
A/band/1/pic_max	4625195900567868385	15.998371539733798
A/band/1/m_hi	4611933203511401781	2.109772228646444
A/band/1/pic_min	4608305322037147854	1.2493346056576686
A/pic/1/0/pi_c	4625195900567868385	15.998371539733798
A/pic/1/0/flowcoef	4599075939470750515	0.3
A/pic/1/0/tau_c	4612800912383408036	2.495112375995591
A/pic/1/0/tt3	4649496367430646895	714.5390113311713
A/pic/1/0/eta_c	4605218849362483872	0.782
A/pic/1/1/pi_c	4620197178543782537	7.559428741994119
A/pic/1/1/flowcoef	4608105143828136859	1.204886114323222
A/pic/1/1/tau_c	4611165359524103392	1.8843904995194904
A/pic/1/1/tt3	4647957967948867428	539.6432390950908
A/pic/1/1/eta_c	4606025933471208417	0.8716043360315063
A/pic/1/2/pi_c	4608305322037147854	1.2493346056576686
A/pic/1/2/flowcoef	4611933203511401781	2.109772228646444
A/pic/1/2/tau_c	4607649690662571935	1.1037551961135035
A/pic/1/2/tt3	4644268302609166637	316.08842718672787
A/pic/1/2/eta_c	4603882911658029798	0.633681120105021
census/A/backpressure_bracket_fails	0	0
census/A/backpressure_calls	0	0
census/A/illinois_calls	0	0
census/A/illinois_evals	0	0
census/A/illinois_exhausted	0	0
census/A/instant_soak_calls	0	0
census/A/plenum_state_calls	0	0
census/A/pt4_at_bracket_fails	0	0
census/A/pt4_at_calls	0	0
census/A/pt4_at_floor_fails	0	0
census/A/soak_close_bracket_fails	0	0
census/A/soak_close_calls	0	0
B/0/m	4607291195129813365	1.0241531971747382
B/0/phi	4608105143828136857	1.2048861143232215
B/0/tau_c	4610060093473169532	1.638972135902832
B/0/Tt3	4646964709908549556	469.3614367248913
B/0/eta_c	4606015800372046833	0.8704793360315063
B/0/pi_c	4617038146468136466	4.753644625264785
B/0/m_target	4607291195129813367	1.0241531971747386
B/1/m	4608105143828136851	1.2048861143232201
B/1/phi	4608105143828136851	1.2048861143232201
B/1/tau_c	4611165359524103398	1.8843904995194918
B/1/Tt3	4647957967948867431	539.6432390950912
B/1/eta_c	4606025933471208418	0.8716043360315064
B/1/pi_c	4620197178543782537	7.559428741994119
B/1/m_target	4608105143828136859	1.204886114323222
census/B/backpressure_bracket_fails	0	0
census/B/backpressure_calls	2	2
census/B/illinois_calls	2	2
census/B/illinois_evals	17	17
census/B/illinois_exhausted	0	0
census/B/instant_soak_calls	0	0
census/B/plenum_state_calls	0	0
census/B/pt4_at_bracket_fails	0	0
census/B/pt4_at_calls	0	0
census/B/pt4_at_floor_fails	0	0
census/B/soak_close_bracket_fails	0	0
census/B/soak_close_calls	0	0
C/nu0	4606772882669196752	0.9545323558147008
C/pt4_steady	4693945508527672078	663369.0133441405
C/0/nu	4606772882669196752	0.9545323558147008
C/0/pt4	4693774559634622506	643467.9429438163
