# slice R smoke — rungs 40+44 TwoSpoolTransient — key	u64 bits (or an integer)	repr
A/tt2	4643741180423569407	286.12499999999994
A/pt2	4680081772134739219	77785.20992963416
A/v0	4643446085055202208	269.3507703720188
A/0/Tt2	4643741180423569407	286.12499999999994
A/0/Tt25	4645753690277895470	400.52294061096006
A/0/Tt3	4649291238038176506	691.2184993774565
A/0/eta_hpc	4606099660755042844	0.8797897088371118
A/0/eta_lpc	4606279577091849970	0.8997644348000604
A/0/f	4581246379209081990	0.01939128649548085
A/0/m_hp	4607428986639508524	1.0547490585070234
A/0/m_imp	4607336979950917988	1.0343194696884774
A/0/m_lp	4607336979950917986	1.034319469688477
A/0/mdot4	4607427307681111454	1.0543762548530604
A/0/mdot_air	4607336979950917988	1.0343194696884774
A/0/n_hp	4607198301751644681	1.0035267237191212
A/0/n_lp	4607182418800017408	1.0
A/0/phi_hp	4607412292985140165	1.051042322618046
A/0/phi_lp	4607336979950917986	1.034319469688477
A/0/pi_hpc	4618026202477091600	5.631214649873769
A/0/pi_lpc	4613783691057572301	2.9315537808626915
A/0/pt4	4698045349729033568	1232730.6924799308
A/0/tau_hpc	4610451086527618793	1.7257900342064494
A/0/tau_lpc	4608983039237614515	1.3998180536861866
A/1/Tt2	4643741180423569407	286.12499999999994
A/1/Tt25	4645515848492184734	387.00320036320215
A/1/Tt3	4649032945174615078	661.8540005130969
A/1/eta_hpc	4606100506951066771	0.8798836554680228
A/1/eta_lpc	4606277784925623159	0.8995654643791643
A/1/f	4581454219589351466	0.020112377669299665
A/1/m_hp	4607210222838737410	1.0061737367929031
A/1/m_imp	4606263538214738180	0.8979837617341961
A/1/m_lp	4606263538214738177	0.8979837617341958
A/1/mdot4	4606426213534528043	0.9160443502910928
A/1/mdot_air	4606263538214738180	0.8979837617341961
A/1/n_hp	4607002895142783547	0.9800688702274053
A/1/n_lp	4606461842859638129	0.92
A/1/phi_hp	4607302375540720389	1.0266357470974878
A/1/phi_lp	4606966870272952243	0.9760693062328215
A/1/pi_hpc	4617843302858083349	5.468767155299266
A/1/pi_lpc	4613087980045498635	2.6225960272269098
A/1/pt4	4697350717691194714	1070999.0680073113
A/1/tau_hpc	4610380888373333230	1.7102029127716452
A/1/tau_lpc	4608770238898105739	1.352566886372048
census/A/close_bracket_fails	0	0
census/A/close_calls	2	2
census/A/close_nonreal_propagated	0	0
census/A/eig_complex	0	0
census/A/eig_real	0	0
census/A/hi_wall_literal	0	0
census/A/hi_wall_map	2	2
census/A/illinois_calls	2	2
census/A/illinois_evals	17	17
census/A/illinois_exhausted	0	0
census/A/instant_calls	0	0
census/A/integrate_calls	0	0
census/A/match_calls	0	0
census/A/powers_calls	0	0
B/cpg/0/M9	4607182418800017401	0.9999999999999992
B/cpg/0/Pc_hp	4688757700583981946	291858.3410015624
B/cpg/0/Pc_lp	4682629225295509876	114855.53237340396
B/cpg/0/Phi_hp	13818339124346141518	-0.1609564481927585
B/cpg/0/Phi_lp	13819351303297801546	-0.18905005762210642
B/cpg/0/Pt_hp	4687623256716421559	243984.50851662245
B/cpg/0/Pt_lp	4681150910278290349	93343.21756200372
B/cpg/0/Tt2	4643741180423569407	286.12499999999994
B/cpg/0/Tt25	4645753690277895470	400.52294061096006
B/cpg/0/Tt3	4649291238038176506	691.2184993774565
B/cpg/0/Tt4	4652992471259676672	1200.0
B/cpg/0/Tt45	4652050182214013278	1004.8741381788093
B/cpg/0/Tt5	4651393545498262600	930.223186433207
B/cpg/0/branch_choked	1	1
B/cpg/0/eta_hpc	4606099660755042844	0.8797897088371118
B/cpg/0/eta_hpt	4606461842859638129	0.92
B/cpg/0/eta_lpc	4606279577091849970	0.8997644348000604
B/cpg/0/eta_lpt	4606281698874543309	0.9
B/cpg/0/f	4581246379209081990	0.01939128649548085
B/cpg/0/m_hp	4607428986639508524	1.0547490585070234
B/cpg/0/m_imp	4607336979950917988	1.0343194696884774
B/cpg/0/m_lp	4607336979950917986	1.034319469688477
B/cpg/0/mdot4	4607427307681111454	1.0543762548530604
B/cpg/0/mdot_air	4607336979950917988	1.0343194696884774
B/cpg/0/n_hp	4607198301751644681	1.0035267237191212
B/cpg/0/n_lp	4607182418800017408	1.0
B/cpg/0/nu_hp	4607182418800017408	1.0
B/cpg/0/nu_hpt	4607713996627768488	1.118033988749895
B/cpg/0/nu_lp	4607182418800017408	1.0
B/cpg/0/nu_lpt	4607713996627768490	1.1180339887498953
B/cpg/0/phi_hp	4607412292985140165	1.051042322618046
B/cpg/0/phi_lp	4607336979950917986	1.034319469688477
B/cpg/0/pi_hpc	4618026202477091600	5.631214649873769
B/cpg/0/pi_hpt	4601427004634511389	0.4305103338600718
B/cpg/0/pi_lpc	4613783691057572301	2.9315537808626915
B/cpg/0/pi_lpt	4604376207078889679	0.6884479135231006
B/cpg/0/pt4	4698045349729033568	1232730.6924799308
B/cpg/0/slip	4607182418800017408	1.0
B/cpg/0/sp_thrust	4648572944823508099	609.5580152449114
B/cpg/0/tau_hpc	4610451086527618793	1.7257900342064494
B/cpg/0/tau_hpt	4605717804202370306	0.8373951151490078
B/cpg/0/tau_lpc	4608983039237614515	1.3998180536861866
B/cpg/0/tau_lpt	4606513284257310084	0.9257111424114304
B/cpg/1/M9	4607182418800017404	0.9999999999999996
B/cpg/1/Pc_hp	4688617295491664814	283685.6889974427
B/cpg/1/Pc_lp	4681786339188599852	102589.92519848113
B/cpg/1/Phi_hp	13805744832405152180	-0.023299328237415387
B/cpg/1/Phi_lp	4582577560098002966	0.024009747973046634
B/cpg/1/Pt_hp	4688483043408715938	275871.18927622784
B/cpg/1/Pt_lp	4681989229979304241	105542.37478542772
B/cpg/1/Tt2	4643741180423569407	286.12499999999994
B/cpg/1/Tt25	4645538771111193312	388.3062003968935
B/cpg/1/Tt3	4649112177451572069	670.8616675258205
B/cpg/1/Tt4	4653652178236342272	1350.0
B/cpg/1/Tt45	4652686734043557319	1130.483405451161
B/cpg/1/Tt5	4652317375890947562	1046.5010847373583
B/cpg/1/branch_choked	1	1
B/cpg/1/eta_hpc	4606100925639073682	0.8799301391745635
B/cpg/1/eta_hpt	4606461842859638129	0.92
B/cpg/1/eta_lpc	4606275505549969604	0.8993124028459296
B/cpg/1/eta_lpt	4606281698874543309	0.9
B/cpg/1/f	4582732822789043575	0.02454842364322959
B/cpg/1/m_hp	4606982987732719569	0.977858703726037
B/cpg/1/m_imp	4606106580930379691	0.8805580026364529
B/cpg/1/m_lp	4606106580930379691	0.8805580026364529
B/cpg/1/mdot4	4606301283349728758	0.9021743135276086
B/cpg/1/mdot_air	4606106580930379690	0.8805580026364528
B/cpg/1/n_hp	4606988071625638846	0.978423129223408
B/cpg/1/n_lp	4606461842859638129	0.92
B/cpg/1/nu_hp	4606822130829827768	0.96
B/cpg/1/nu_hpt	4607236141570079346	1.0119288512538813
B/cpg/1/nu_lp	4606461842859638129	0.92
B/cpg/1/nu_lpt	4606910087473688584	0.9697651491183032
B/cpg/1/phi_hp	4607177222793537765	0.9994231273970199
B/cpg/1/phi_lp	4606796264529084323	0.9571282637352748
B/cpg/1/pi_hpc	4618049916183361587	5.652276652033879
B/cpg/1/pi_hpt	4601427004634511389	0.4305103338600718
B/cpg/1/pi_lpc	4613151086748993793	2.6506210333183167
B/cpg/1/pi_lpt	4604376207078889679	0.6884479135231006
B/cpg/1/pt4	4697555875677071698	1118766.133909781
B/cpg/1/slip	4606807118831069867	0.9583333333333334
B/cpg/1/sp_thrust	4648978297619474588	655.641292779957
B/cpg/1/tau_hpc	4610459514800989512	1.7276614868372508
B/cpg/1/tau_hpt	4605717804202370309	0.8373951151490081
B/cpg/1/tau_lpc	4608790748082784450	1.3571208401813668
B/cpg/1/tau_lpt	4606513284257310083	0.9257111424114303
census/B/cpg/close_bracket_fails	0	0
census/B/cpg/close_calls	2	2
census/B/cpg/close_nonreal_propagated	0	0
census/B/cpg/eig_complex	0	0
census/B/cpg/eig_real	0	0
census/B/cpg/hi_wall_literal	0	0
census/B/cpg/hi_wall_map	2	2
census/B/cpg/illinois_calls	2	2
census/B/cpg/illinois_evals	17	17
census/B/cpg/illinois_exhausted	0	0
census/B/cpg/instant_calls	2	2
census/B/cpg/integrate_calls	0	0
census/B/cpg/match_calls	0	0
census/B/cpg/powers_calls	0	0
B/re/0/M9	4607182418800016688	0.9999999999999201
B/re/0/Pc_hp	4688998029257805229	305847.3109552514
B/re/0/Pc_lp	4682837332674404336	117883.89330947376
B/re/0/Phi_hp	13675475696547004018	-4.5564904624097015e-11
B/re/0/Phi_lp	4447258908326335434	2.168013159312511e-11
B/re/0/Pt_hp	4688998029257565812	305847.3109413155
B/re/0/Pt_lp	4682837332674579965	117883.8933120295
B/re/0/Tt2	4643745586963694955	286.3754828060834
B/re/0/Tt25	4645801516094725089	403.2415235493664
B/re/0/Tt3	4649341121304772469	696.8895702119759
B/re/0/Tt4	4654311885213007872	1500.0
B/re/0/Tt45	4653251304555918340	1258.851877893555
B/re/0/Tt5	4652834285207010643	1164.0326558014683
B/re/0/branch_choked	1	1
B/re/0/eta_hpc	4606101554889448489	0.88
B/re/0/eta_hpt	4606461842859638129	0.92
