# slice S smoke — rungs 43+45 TwoSpoolFuelTransient — key	u64 bits (or an integer)	repr
A/r43/R_c	4643754814367753830	286.9
A/r43/R_t	4643737628155233517	285.92307692307696
A/r43/cp_c	4652042493213278208	1004.0
A/r43/gamma_c	4608983858650965606	1.4
A/r45/R_c	4643754060416923354	286.8571428571428
A/r45/R_t	4643737628155233517	285.92307692307696
A/r45/cp_c	4652042493213278208	1004.0
A/r45/gamma_c	4608983858650965606	1.4
A/tt2	4643741180423569407	286.12499999999994
A/pt2	4680081772134739219	77785.20992963416
A/v0	4643446085055202208	269.3507703720188
A/0/Tt2	4643741180423569407	286.12499999999994
A/0/Tt25	4645753321298417303	400.5019665559316
A/0/Tt3	4649290006851594846	691.0785296683423
A/0/Tt4	4652983491735927473	1197.9582926814148
A/0/eta_hpc	4606099632120244463	0.879786529735865
A/0/eta_lpc	4606279545680357538	0.8997609474238468
A/0/f	4581229191579756993	0.019331654927307932
A/0/m_hp	4607430848391790500	1.055162450556943
A/0/m_imp	4607338119831907810	1.034572574112524
A/0/m_lp	4607338119831907804	1.0345725741125227
A/0/mdot4	4607428191824455220	1.054572574112524
A/0/mdot_air	4607338119831907810	1.034572574112524
A/0/mdot_air_face	4607338119831907804	1.0345725741125227
A/0/n_hp	4607198420091432262	1.0035530004305016
A/0/n_lp	4607182418800017408	1.0
A/0/phi_hp	4607414024206267533	1.0514267309293104
A/0/phi_lp	4607338119831907804	1.0345725741125227
A/0/pi_hpc	4618023084548112260	5.6284453726401615
A/0/pi_lpc	4613782546727414235	2.9310455961869883
A/0/pt4	4698041828663656768	1231910.8805619031
A/0/tau_hpc	4610449919613082444	1.7255309271292445
A/0/tau_lpc	4608982709106565460	1.3997447498678257
A/1/Tt2	4643741180423569407	286.12499999999994
A/1/Tt25	4645508670906044577	386.5952018278277
A/1/Tt3	4649007853428591425	659.0013992547539
A/1/Tt4	4652798020483245582	1155.7870122700729
A/1/eta_hpc	4606100150842102258	0.879844119430855
A/1/eta_lpc	4606278231540894481	0.8996150486349014
A/1/f	4581080958717393065	0.018817368874800042
A/1/m_hp	4607250607916582429	1.015141025447867
A/1/m_imp	4606312509532489038	0.9034206701855199
A/1/m_lp	4606312509532489040	0.9034206701855201
A/1/mdot4	4606465631919819636	0.92042067018552
A/1/mdot_air	4606312509532489039	0.90342067018552
A/1/mdot_air_face	4606312509532489041	0.9034206701855202
A/1/n_hp	4607007552118514754	0.980585898395596
A/1/n_lp	4606461842859638129	0.92
A/1/phi_hp	4607341122344062833	1.0352392657377687
A/1/phi_lp	4607020099966159703	0.981978989332087
A/1/pi_hpc	4617778135937075331	5.410887302381641
A/1/pi_lpc	4613068147865911190	2.6137887702643168
A/1/pt4	4697286749605454922	1056105.3374312096
A/1/tau_hpc	4610355785782910498	1.7046290179986348
A/1/tau_lpc	4608763817012384882	1.3511409412942865
census/A/close_calls	2	2
census/A/eq_calls	0	0
census/A/eq_passes	0	0
census/A/hi_wall_hi0	0	0
census/A/hi_wall_literal	0	0
census/A/hi_wall_map	2	2
census/A/illinois_calls	2	2
census/A/illinois_evals	14	14
census/A/illinois_exhausted	0	0
census/A/instant_calls	0	0
census/A/march_calls	0	0
census/A/rw_calls	0	0
census/A/rw_interior	0	0
census/A/rw_one	0	0
census/A/rw_zero	0	0
census/A/sched_calls	0	0
census/A/sched_dormant	0	0
census/A/surge_calls	0	0
census/A/surge_dormant	0	0
census/A/topping_calls	0	0
A/r43/sp_thrust	4648565269902498906	608.6854777456131
A/r43/Tt4	4652983491735927473	1197.9582926814148
A/r43/nu_lpt	4607718285584316581	1.1189863284121568
A/r45/sp_thrust	4648565446867313739	608.7055963157994
A/r45/Tt4	4652983491735927473	1197.9582926814148
A/r45/nu_lpt	4607718285584316581	1.1189863284121568
census/A/thrust/close_calls	2	2
census/A/thrust/eq_calls	0	0
census/A/thrust/eq_passes	0	0
census/A/thrust/hi_wall_hi0	0	0
census/A/thrust/hi_wall_literal	0	0
census/A/thrust/hi_wall_map	2	2
census/A/thrust/illinois_calls	2	2
census/A/thrust/illinois_evals	14	14
census/A/thrust/illinois_exhausted	0	0
census/A/thrust/instant_calls	2	2
census/A/thrust/march_calls	0	0
census/A/thrust/rw_calls	0	0
census/A/thrust/rw_interior	0	0
census/A/thrust/rw_one	0	0
census/A/thrust/rw_zero	0	0
census/A/thrust/sched_calls	0	0
census/A/thrust/sched_dormant	0	0
census/A/thrust/surge_calls	0	0
census/A/thrust/surge_dormant	0	0
census/A/thrust/topping_calls	0	0
B/0/M9	4607182418800017406	0.9999999999999998
B/0/Pc_hp	4688755648076892206	291738.86936486035
B/0/Pc_lp	4682627778204118940	114834.47442215536
B/0/Phi_hp	13818378091170585145	-0.16203799483510453
B/0/Phi_lp	13819398324206896816	-0.1903551500200158
B/0/Pt_hp	4687608503712251263	243555.13958452267
B/0/Pt_lp	4681139621915055042	93178.95025713652
B/0/Tt2	4643741180423569407	286.12499999999994
B/0/Tt25	4645753321298417303	400.5019665559316
B/0/Tt3	4649290006851594846	691.0785296683423
B/0/Tt4	4652983491735927473	1197.9582926814148
B/0/Tt45	4652035143395365393	1003.1644224436624
B/0/Tt5	4651379623896271549	928.6404835268255
B/0/branch_choked	1	1
B/0/eta_hpc	4606099632120244463	0.879786529735865
B/0/eta_hpt	4606461842859638129	0.92
B/0/eta_lpc	4606279545680357538	0.8997609474238468
B/0/eta_lpt	4606281698874543309	0.9
B/0/f	4581229191579756993	0.019331654927307932
B/0/m_hp	4607430848391790500	1.055162450556943
B/0/m_imp	4607338119831907810	1.034572574112524
B/0/m_lp	4607338119831907804	1.0345725741125227
B/0/mdot4	4607428191824455220	1.054572574112524
B/0/mdot_air	4607338119831907810	1.034572574112524
B/0/mdot_air_face	4607338119831907804	1.0345725741125227
B/0/n_hp	4607198420091432262	1.0035530004305016
B/0/n_lp	4607182418800017408	1.0
B/0/nu_hp	4607182418800017408	1.0
B/0/nu_hpt	4607718285584316579	1.1189863284121564
B/0/nu_lp	4607182418800017408	1.0
B/0/nu_lpt	4607718285584316581	1.1189863284121568
B/0/phi_hp	4607414024206267533	1.0514267309293104
B/0/phi_lp	4607338119831907804	1.0345725741125227
B/0/pi_hpc	4618023084548112260	5.6284453726401615
B/0/pi_hpt	4601427004634511389	0.4305103338600718
B/0/pi_lpc	4613782546727414235	2.9310455961869883
B/0/pi_lpt	4604376207078889679	0.6884479135231006
B/0/pt4	4698041828663656768	1231910.8805619031
B/0/slip	4607182418800017408	1.0
B/0/sp_thrust	4648565269902498906	608.6854777456131
B/0/tau_hpc	4610449919613082444	1.7255309271292445
B/0/tau_hpt	4605717804202370308	0.837395115149008
B/0/tau_lpc	4608982709106565460	1.3997447498678257
B/0/tau_lpt	4606513284257310085	0.9257111424114305
B/1/M9	4607182418800017401	0.9999999999999992
B/1/Pc_hp	4688730793013567633	290292.11426688085
B/1/Pc_lp	4682053445506788280	106476.83369772031
B/1/Phi_hp	13800851500391245814	-0.010973586198435453
B/1/Phi_lp	4583231791504132435	0.026279569130914848
B/1/Pt_hp	4688668822635393408	286684.9635074362
B/1/Pt_lp	4682273530501164184	109679.49187891406
B/1/Tt2	4643741180423569407	286.12499999999994
B/1/Tt25	4645606877901488370	392.17762320490067
B/1/Tt3	4649204110061076414	681.3131951838657
B/1/Tt4	4653876869171913160	1401.0888038595313
B/1/Tt45	4652874889135422640	1173.264920241938
B/1/Tt5	4652491553155988736	1086.10440966842
B/1/branch_choked	1	1
B/1/eta_hpc	4606101190983947299	0.8799595983733791
B/1/eta_hpt	4606461842859638129	0.92
B/1/eta_lpc	4606277966562238141	0.8995856300943711
B/1/eta_lpt	4606281698874543309	0.9
B/1/f	4583118393813319939	0.025886141858166855
B/1/m_hp	4607010320828175632	0.9808932869169968
B/1/m_imp	4606352150029787137	0.9078216494663139
B/1/m_lp	4606352150029787128	0.9078216494663129
B/1/mdot4	4606563819212273549	0.9313216494663138
B/1/mdot_air	4606352150029787136	0.9078216494663138
B/1/mdot_air_face	4606352150029787128	0.9078216494663129
B/1/n_hp	4607035811552004507	0.9837233257679147
B/1/n_lp	4606641986844732948	0.94
B/1/nu_hp	4606912202822375178	0.97
B/1/nu_hpt	4607198880289030692	1.0036551848244324
B/1/nu_lp	4606641986844732948	0.94
B/1/nu_lpt	4606935750368783127	0.9726143028195534
B/1/phi_hp	4607156506306980836	0.9971231353605359
B/1/phi_lp	4606874081762841004	0.9657677121982053
B/1/pi_hpc	4618165603982395468	5.755028058558377
B/1/pi_hpt	4601427004634511389	0.4305103338600718
B/1/pi_lpc	4613347354788836304	2.737781552050798
B/1/pi_lpt	4604376207078889679	0.6884479135231006
B/1/pt4	4697804103327649733	1176561.1375665527
B/1/slip	4606903845627190367	0.9690721649484536
B/1/sp_thrust	4649198605160857682	680.687360486025
B/1/tau_hpc	4610502727703882860	1.737256678787868
B/1/tau_hpt	4605717804202370307	0.8373951151490079
B/1/tau_lpc	4608851684171261636	1.3706513698729603
B/1/tau_lpt	4606513284257310083	0.9257111424114303
census/B/close_calls	2	2
census/B/eq_calls	0	0
census/B/eq_passes	0	0
census/B/hi_wall_hi0	0	0
census/B/hi_wall_literal	0	0
census/B/hi_wall_map	2	2
census/B/illinois_calls	2	2
census/B/illinois_evals	13	13
census/B/illinois_exhausted	0	0
census/B/instant_calls	2	2
census/B/march_calls	0	0
census/B/rw_calls	0	0
census/B/rw_interior	0	0
census/B/rw_one	0	0
census/B/rw_zero	0	0
census/B/sched_calls	0	0
census/B/sched_dormant	0	0
census/B/surge_calls	0	0
census/B/surge_dormant	0	0
census/B/topping_calls	0	0
C/cpg/0/mf	4583809590202238791	0.02828421106290271
C/cpg/0/nu_lp	4607182418800017408	1.0
C/cpg/0/nu_hp	4607182418800017408	1.0
C/cpg/0/Tt4	4654311885213007872	1500.0
C/cpg/0/pi_lpc	4613937818241073153	3.0000000000000004
C/cpg/0/pi_hpc	4618441417868443649	6.000000000000001
C/cpg/0/Phi_lp	13621356199628391289	-1.1003861925559265e-14
C/cpg/0/Phi_hp	4392981919590641612	5.1085705561237316e-15
C/cpg/0/mdot_air	4607182418800017409	1.0000000000000002
C/cpg/0/passes	0	0
C/cpg/1/mf	4581171736478880146	0.019132317502696568
C/cpg/1/nu_lp	4606281558955011443	0.8999844658114128
