# phase-6P spool-transient oracle — key	u64 bits (or an integer)	repr
# cpython 3.14.3
eq/flat/1500/branch	0	0
eq/flat/1500/nu	4607182418800026578	1.0000000000020361
eq/flat/1500/n	4607182418800026578	1.0000000000020361
eq/flat/1500/pi_c	4621819117589011366	10.00000000007078
eq/flat/1500/tau_c	4611770577926484820	2.0375519611392665
eq/flat/1500/mdot_air	4607182418800049421	1.0000000000071083
eq/flat/1500/f	4583515894746788908	0.027265250260189486
eq/flat/1500/pi_t	4601396903998823232	0.42883941292022953
eq/flat/1500/tau_t	4605762360027397713	0.8423418054316675
eq/flat/1500/Tt3	4648343779432392482	583.5049266137396
eq/flat/1500/Tt5	4653271803104155556	1263.5127081475011
eq/flat/1500/flowcoef	4607182418800040251	1.0000000000050722
eq/flat/1500/Phi	4371764779440578046	1.9171145516081304e-16
eq/flat/1500/sp_thrust	4649771419385843768	745.8087983266514
eq/flat/1500/M9	4607182418800017476	1.000000000000015
eq/flat/1500/pt9_over_p0	4618759410625817152	6.282434304720084
eq/flat/1500/eta_c	4606101554889448489	0.88
eq/flat/1500/eta_t	4606281698874543309	0.9
eq/flat/1500/nu_t	4607182418800026578	1.0000000000020361
eq/flat/1500/p_net_spec	4454060031469420544	5.820766091346741e-11
eq/flat/1500/m	4607182418800049421	1.0000000000071083
eq/flat/1500/thrust	4649771419385890400	745.8087983319529
eq/flat/1500/Tt2	4643745586963694955	286.3754828060834
eq/flat/1500/pt2	4680086807681088516	77858.48677323764
eq/flat/1500/V0	4643453651052699634	269.7808475368648
eq/flat/1300/branch	0	0
eq/flat/1300/nu	4606554719589949060	0.9303113884443097
eq/flat/1300/n	4606554719589949060	0.9303113884443097
eq/flat/1300/pi_c	4620536077397212997	7.860431390072169
eq/flat/1300/tau_c	4611226559949216568	1.8979797237349896
eq/flat/1300/mdot_air	4605838572485281575	0.8508030879822613
eq/flat/1300/f	4581979107789575537	0.021933449435683487
eq/flat/1300/pi_t	4601376914606463021	0.4277297787379009
eq/flat/1300/tau_t	4605728356371443611	0.8385666412554998
eq/flat/1300/Tt3	4647992199006073918	543.5348597407644
eq/flat/1300/Tt5	4652509287064524408	1090.1366336321498
eq/flat/1300/flowcoef	4606412625896734730	0.9145358194582525
eq/flat/1300/Phi	0	0.0
eq/flat/1300/sp_thrust	4648751086465222804	629.8103751579933
eq/flat/1300/M9	4607182418800017861	1.0000000000001006
eq/flat/1300/pt9_over_p0	4617231623198471676	4.925486481862659
eq/flat/1300/eta_c	4606101554889448489	0.88
eq/flat/1300/eta_t	4606281698874543309	0.9
eq/flat/1300/nu_t	4607176246473782674	0.99931473412987
eq/flat/1300/p_net_spec	0	0.0
eq/flat/1300/m	4605838572485281576	0.8508030879822615
eq/flat/1300/thrust	4647924554871825869	535.8446120276873
eq/flat/1300/Tt2	4643745586963694955	286.3754828060834
eq/flat/1300/pt2	4680086807681088516	77858.48677323764
eq/flat/1300/V0	4643453651052699634	269.7808475368648
eq/flat/1100/branch	0	0
eq/flat/1100/nu	4605879974586650847	0.8553996446030644
eq/flat/1100/n	4605879974586650847	0.8553996446030644
eq/flat/1100/pi_c	4618547015154979838	6.0937892310803345
eq/flat/1100/tau_c	4610601486979358072	1.7591856430934438
eq/flat/1100/mdot_air	4604686414014587026	0.7228878017640616
eq/flat/1100/f	4580500893837387977	0.01680486454493105
eq/flat/1100/pi_t	4601348491708437909	0.4261519909471983
eq/flat/1100/tau_t	4605684308384807642	0.8336763323603364
eq/flat/1100/Tt3	4647570342044185577	503.7876378864153
eq/flat/1100/Tt5	4651277619845821560	917.0439655963701
eq/flat/1100/flowcoef	4605787093726416664	0.8450877976451663
eq/flat/1100/Phi	13589428504667076673	-8.10065057121899e-17
eq/flat/1100/sp_thrust	4647557833094695258	503.07658643102843
eq/flat/1100/M9	4607182418800017373	0.9999999999999961
eq/flat/1100/pt9_over_p0	4615749147091166600	3.804391597816622
eq/flat/1100/eta_c	4606101554889448489	0.88
eq/flat/1100/eta_t	4606281698874543309	0.9
eq/flat/1100/nu_t	4607172435042376164	0.9988915802394414
eq/flat/1100/p_net_spec	13672928468696825856	-2.9103830456733704e-11
eq/flat/1100/m	4604686414014587026	0.7228878017640616
eq/flat/1100/thrust	4645105330033816687	363.6679276840941
eq/flat/1100/Tt2	4643745586963694955	286.3754828060834
eq/flat/1100/pt2	4680086807681088516	77858.48677323764
eq/flat/1100/V0	4643453651052699634	269.7808475368648
eq/flat/900/branch	0	0
eq/flat/900/nu	4605139504127004191	0.7731909092676154
eq/flat/900/n	4605139504127004191	0.7731909092676154
eq/flat/900/pi_c	4616911031142773973	4.640743536464659
