# phase-6P spool-transient oracle — key	u64 bits (or an integer)	repr
# pypy 3.11.15
eq/flat/1500/branch	0	0
eq/flat/1500/nu	4607182418799998932	0.9999999999979488
eq/flat/1500/n	4607182418799998932	0.9999999999979488
eq/flat/1500/pi_c	4621819117588931366	9.999999999928672
eq/flat/1500/tau_c	4611770577926465715	2.037551961130782
eq/flat/1500/mdot_air	4607182418799952887	0.9999999999928367
eq/flat/1500/f	4583515894746806934	0.027265250260252026
eq/flat/1500/pi_t	4601396903998884109	0.4288394129236089
eq/flat/1500/tau_t	4605762360027409860	0.8423418054330161
eq/flat/1500/Tt3	4648343779432371110	583.5049266113099
eq/flat/1500/Tt5	4653271803104164453	1263.512708149524
eq/flat/1500/flowcoef	4607182418799971363	0.999999999994888
eq/flat/1500/Phi	13595136816295274673	-1.9171145515886108e-16
eq/flat/1500/sp_thrust	4649771419385843406	745.8087983266103
eq/flat/1500/M9	4607182418800016934	0.9999999999999474
eq/flat/1500/pt9_over_p0	4618759410625772371	6.282434304680311
eq/flat/1500/eta_c	4606101554889448489	0.88
eq/flat/1500/eta_t	4606281698874543309	0.9
eq/flat/1500/nu_t	4607182418799998932	0.9999999999979488
eq/flat/1500/p_net_spec	13677432068324196352	-5.820766091346741e-11
eq/flat/1500/m	4607182418799952887	0.9999999999928367
eq/flat/1500/thrust	4649771419385796413	745.8087983212678
eq/flat/1500/Tt2	4643745586963694955	286.3754828060834
eq/flat/1500/pt2	4680086807681088516	77858.48677323764
eq/flat/1500/V0	4643453651052699634	269.7808475368648
eq/flat/1300/branch	0	0
eq/flat/1300/nu	4606554719589931851	0.9303113884423991
eq/flat/1300/n	4606554719589931851	0.9303113884423991
eq/flat/1300/pi_c	4620536077397154955	7.860431390020618
eq/flat/1300/tau_c	4611226559949199947	1.897979723731299
eq/flat/1300/mdot_air	4605838572485231126	0.8508030879766604
eq/flat/1300/f	4581979107789583276	0.021933449435710337
eq/flat/1300/pi_t	4601376914606493611	0.427729778739599
eq/flat/1300/tau_t	4605728356371449839	0.8385666412561913
eq/flat/1300/Tt3	4647992199006064622	543.5348597397076
eq/flat/1300/Tt5	4652509287064528361	1090.1366336330486
eq/flat/1300/flowcoef	4606412625896697420	0.9145358194541102
eq/flat/1300/Phi	13597197756226252413	-2.629904891150177e-16
eq/flat/1300/sp_thrust	4648751086465222405	629.810375157948
eq/flat/1300/M9	4607182418800017075	0.999999999999963
eq/flat/1300/pt9_over_p0	4617231623198457321	4.92548648184991
eq/flat/1300/eta_c	4606101554889448489	0.88
eq/flat/1300/eta_t	4606281698874543309	0.9
eq/flat/1300/nu_t	4607176246473764189	0.9993147341278178
eq/flat/1300/p_net_spec	13679683868137881600	-8.731149137020111e-11
eq/flat/1300/m	4605838572485231127	0.8508030879766605
eq/flat/1300/thrust	4647924554871794501	535.8446120241211
eq/flat/1300/Tt2	4643745586963694955	286.3754828060834
eq/flat/1300/pt2	4680086807681088516	77858.48677323764
eq/flat/1300/V0	4643453651052699634	269.7808475368648
eq/flat/1100/branch	0	0
eq/flat/1100/nu	4605879974586642709	0.8553996446021609
eq/flat/1100/n	4605879974586642709	0.8553996446021609
eq/flat/1100/pi_c	4618547015154958998	6.093789231061825
eq/flat/1100/tau_c	4610601486979350841	1.7591856430918382
eq/flat/1100/mdot_air	4604686414014567109	0.7228878017618504
eq/flat/1100/f	4580500893837391300	0.01680486454494258
eq/flat/1100/pi_t	4601348491708453550	0.42615199094806655
eq/flat/1100/tau_t	4605684308384810934	0.8336763323607019
eq/flat/1100/Tt3	4647570342044177488	503.7876378859555
eq/flat/1100/Tt5	4651277619845825096	917.0439655967721
eq/flat/1100/flowcoef	4605787093726401420	0.8450877976434739
eq/flat/1100/Phi	13598435703921804519	-3.2402602284811144e-16
eq/flat/1100/sp_thrust	4647557833094694879	503.0765864310069
eq/flat/1100/M9	4607182418800017652	1.0000000000000542
eq/flat/1100/pt9_over_p0	4615749147091158033	3.8043915978128173
eq/flat/1100/eta_c	4606101554889448489	0.88
eq/flat/1100/eta_t	4606281698874543309	0.9
eq/flat/1100/nu_t	4607172435042366661	0.9988915802383863
eq/flat/1100/p_net_spec	13681935667951566848	-1.1641532182693481e-10
eq/flat/1100/m	4604686414014567109	0.7228878017618504
eq/flat/1100/thrust	4645105330033796844	363.66792768296614
eq/flat/1100/Tt2	4643745586963694955	286.3754828060834
eq/flat/1100/pt2	4680086807681088516	77858.48677323764
eq/flat/1100/V0	4643453651052699634	269.7808475368648
eq/flat/900/branch	0	0
eq/flat/900/nu	4605139504126989925	0.7731909092660315
eq/flat/900/n	4605139504126989925	0.7731909092660315
eq/flat/900/pi_c	4616911031142746964	4.64074353644067
eq/flat/900/tau_c	4609975882990852175	1.620273652626128
eq/flat/900/mdot_air	4603708388800440169	0.6143051906230826
eq/flat/900/f	4578022463633484206	0.011915541214183669
