# slice T oracle (main) — rungs 46+47+48 readers — key	u64 bits (or an integer)	repr
A/flow/press/rho	4607182418800017408	1.0
A/flow/press/r	4602678819172646912	0.5
A/flow/press/Tt4_max	4654223924282785792	1480.0
A/flow/press/tau_gov_is_set	0	0
A/flow/press/Tt4_peak_bare	4654949061565516175	1644.8771291753253
A/flow/press/Tt4_peak_top	4654223924282785830	1480.0000000000086
A/flow/press/overshoot	4441393657517441024	8.640199666842818e-12
A/flow/press/min_phi_lp_bare	4604839298843509145	0.7398614274825831
A/flow/press/min_phi_lp_top	4604839298843509145	0.7398614274825831
A/flow/press/min_phi_hp_bare	4605945775370749913	0.8627049991575816
A/flow/press/min_phi_hp_top	4605970940731656228	0.8654989154677009
A/flow/press/relief_lp	0	0.0
A/flow/press/relief_hp	4568588754918329088	0.002793916310119271
A/flow/press/held	1	1
A/flow/press/top/ext_lp	13818696607377530792	-0.17087859550178774
A/flow/press/top/ext_hp	13815491715618179624	-0.10346248996760521
A/flow/press/top/s_lp	4602678819172646913	0.5000000000000001
A/flow/press/top/s_hp	4599796515411129795	0.34
A/flow/press/top/min_phi_lp	4604839298843509145	0.7398614274825831
A/flow/press/top/min_phi_hp	4605970940731656228	0.8654989154677009
A/flow/press/top/Tt4_peak	4654223924282785830	1480.0000000000086
A/flow/press/top/ratio	4610116962013288019	1.6515994884261047
A/flow/press/top/npts	126	126
A/press/flow/rho	4607182418800017408	1.0
A/press/flow/r	4602678819172646912	0.5
A/press/flow/Tt4_max	4654223924282785792	1480.0
A/press/flow/tau_gov_is_set	0	0
A/press/flow/Tt4_peak_bare	4654976850702716397	1651.195647437936
A/press/flow/Tt4_peak_top	4654223924282785817	1480.0000000000057
A/press/flow/overshoot	4438578907750334464	5.6843418860808015e-12
A/press/flow/min_phi_lp_bare	4604945105819692222	0.7516083615950249
A/press/flow/min_phi_lp_top	4604945105819692222	0.7516083615950249
A/press/flow/min_phi_hp_bare	4605763729040644062	0.8424937964343788
A/press/flow/min_phi_hp_top	4605795929639494900	0.8460687810594707
A/press/flow/relief_lp	0	0.0
A/press/flow/relief_hp	4570389775832126976	0.0035749846250918704
A/press/flow/held	1	1
A/press/flow/top/ext_lp	13818412949785839016	-0.16300551576663946
A/press/flow/top/ext_hp	13816653497652211376	-0.11958545451482894
A/press/flow/top/s_lp	4602678819172646913	0.5000000000000001
A/press/flow/top/s_hp	4599436227440940155	0.32
A/press/flow/top/min_phi_lp	4604945105819692222	0.7516083615950249
A/press/flow/top/min_phi_hp	4605795929639494900	0.8460687810594707
A/press/flow/top/Tt4_peak	4654223924282785817	1480.0000000000057
A/press/flow/top/ratio	4608817622449720555	1.3630881483703046
A/press/flow/top/npts	126	126
A/tilted/rho	4607182418800017408	1.0
A/tilted/r	4602678819172646912	0.5
A/tilted/Tt4_max	4654223924282785792	1480.0
A/tilted/tau_gov_is_set	0	0
