# phase-5K two-spool matcher oracle — key	u64 bits	repr
# cpython 3.14.3
hw/cpg/A4	4560064477807736444	0.0007508376013125174
hw/cpg/A45	4565002984937893543	0.001595980734495331
hw/cpg/A8	4567394472500315774	0.0022759788732507604
hw/cpg/f_design	4583809590202238789	0.028284211062902704
hw/cpg/pi_d_max	4606912202822375178	0.97
design/cpg/s2/Tt	4643741180423569407	286.12499999999994
design/cpg/s2/pt	4680081772134739219	77785.20992963416
design/cpg/s25/Tt	4645803477028629735	403.35298973666653
design/cpg/s25/pt	4687258051224191900	233355.62978890247
design/cpg/s3/Tt	4649454405929320605	709.768540939334
design/cpg/s3/pt	4698764340509741749	1400133.7787334148
design/cpg/s4/Tt	4654311885213007872	1500.0
design/cpg/s4/pt	4698523799358154352	1344128.4275840782
design/cpg/s45/Tt	4653239169443246816	1256.0926727235128
design/cpg/s45/pt	4693217873763581215	578661.1781100369
design/cpg/s5/Tt	4652828771495902639	1162.7789830415093
design/cpg/s5/pt	4690587695777629474	398378.08070667286
design/cpg/s9/Tt	4652828771495902639	1162.7789830415093
design/cpg/s9/pt	4690450814111383201	390410.5190925394
design/cpg/F_over_mdot	4649651320669411054	732.1551550409911
design/cpg/tsfc	4540825819686040414	3.863144426172778e-05
faces/cpg/mcorr_lp_d	4552154909493240776	0.00021746074657816154
faces/cpg/mcorr_hp_d	4545978868104356759	8.606456089922523e-05
faces/cpg/tau_lpc_d	4609027584132985321	1.409709007380224
faces/cpg/tau_hpc_d	4610603672633087516	1.7596709557123011
faces/cpg/Tt2_d	4643741180423569407	286.12499999999994
faces/cpg/Tt25_d	4645803477028629735	403.35298973666653
faces/cpg/Tt4_d	4654311885213007872	1500.0
faces/cpg/Tt45_d	4653239169443246816	1256.0926727235128
hw/tpg/A4	4560056435558565027	0.0007499656589101854
hw/tpg/A45	4564935596746784181	0.0015813682498552032
hw/tpg/A8	4567333794721074814	0.0022496640812209026
hw/tpg/f_design	4582664797507511742	0.024312413537563186
hw/tpg/pi_d_max	4606912202822375178	0.97
design/tpg/s2/Tt	4643745586963694955	286.3754828060834
design/tpg/s2/pt	4680086807681088516	77858.48677323764
design/tpg/s25/Tt	4645801516094756528	403.2415235511535
design/tpg/s25/pt	4687265604543715846	233575.46031971293
design/tpg/s3/Tt	4649341121304789435	696.8895702139047
design/tpg/s3/pt	4698770005499384708	1401452.7619182775
design/tpg/s4/Tt	4654311885213007872	1500.0
design/tpg/s4/pt	4698529237748211593	1345394.6514415464
design/tpg/s45/Tt	4653261007701498581	1261.058117767495
design/tpg/s45/pt	4693257770746338779	583305.7981976824
design/tpg/s5/Tt	4652847730654153192	1167.0897965362474
design/tpg/s5/pt	4690648796759184179	401934.62592248915
design/tpg/s9/Tt	4652847730654153192	1167.0897965362474
design/tpg/s9/pt	4690510693073306812	393895.93340403936
design/tpg/F_over_mdot	4649643485346665562	731.2643819755278
design/tpg/tsfc	4540031229410214433	3.324709111618787e-05
faces/tpg/mcorr_lp_d	4552150866390978027	0.0002173511580717402
faces/tpg/mcorr_hp_d	4545972014653391284	8.597167931890284e-05
faces/tpg/tau_lpc_d	4609020278146057006	1.408086752399139
faces/tpg/tau_hpc_d	4610462024585359296	1.7282187709160866
faces/tpg/Tt2_d	4643745586963694955	286.3754828060834
faces/tpg/Tt25_d	4645801516094756528	403.2415235511535
faces/tpg/Tt4_d	4654311885213007872	1500.0
faces/tpg/Tt45_d	4653261007701498581	1261.058117767495
hw/eq/A4	4560050746775786723	0.0007493488798454819
hw/eq/A45	4564924813194383024	0.001579029939667114
hw/eq/A8	4567326865436437418	0.0022466589830378485
hw/eq/f_design	4582591370642831330	0.02405766292570622
hw/eq/pi_d_max	4606912202822375178	0.97
design/eq/s2/Tt	4643745586963694955	286.3754828060834
design/eq/s2/pt	4680086807681088516	77858.48677323764
design/eq/s25/Tt	4645801516094756528	403.2415235511535
design/eq/s25/pt	4687265604543715846	233575.46031971293
design/eq/s3/Tt	4649341121304789435	696.8895702139047
design/eq/s3/pt	4698770005499384708	1401452.7619182775
design/eq/s4/Tt	4654311885213007872	1500.0
design/eq/s4/pt	4698529237748211593	1345394.6514415464
design/eq/s45/Tt	4653251304555868317	1258.851877882181
design/eq/s45/pt	4693256637402152941	583173.8595695473
design/eq/s5/Tt	4652834285206962578	1164.0326557905396
design/eq/s5/pt	4690643205404305517	401609.16623366514
design/eq/s9/Tt	4652834285206962578	1164.0326557905396
design/eq/s9/pt	4690505213545525723	393576.9829089918
design/eq/F_over_mdot	4649627730615338044	729.4732763917486
design/eq/tsfc	4539991739730623533	3.297949863866781e-05
faces/eq/mcorr_lp_d	4552150866390978027	0.0002173511580717402
faces/eq/mcorr_hp_d	4545972014653391284	8.597167931890284e-05
faces/eq/tau_lpc_d	4609020278146057006	1.408086752399139
faces/eq/tau_hpc_d	4610462024585359296	1.7282187709160866
faces/eq/Tt2_d	4643745586963694955	286.3754828060834
faces/eq/Tt25_d	4645801516094756528	403.2415235511535
faces/eq/Tt4_d	4654311885213007872	1500.0
faces/eq/Tt45_d	4653251304555868317	1258.851877882181
r38/cpg/0.00/400/abort	4618441417868443648	6.0
r38/cpg/0.00/500/abort	4620693217682128896	8.0
r38/cpg/0.00/600/abort	4620693217682128896	8.0
r38/cpg/0.00/650/abort	4620693217682128896	8.0
r38/cpg/0.00/900/abort	4611686018427387904	2.0
r38/cpg/0.00/1100/abort	4611686018427387904	2.0
r38/cpg/0.00/1500/abort	4611686018427387904	2.0
r38/cpg/0.30/400/abort	4618441417868443648	6.0
r38/cpg/0.30/500/abort	4620693217682128896	8.0
r38/cpg/0.30/600/abort	4620693217682128896	8.0
r38/cpg/0.30/650/abort	4620693217682128896	8.0
r38/cpg/0.30/900/abort	0	0.0
r38/cpg/0.30/900/n_pass	4620693217682128896	8.0
r38/cpg/0.30/900/pi_lpc	4612037315756575285	2.1560073533412614
r38/cpg/0.30/900/pi_hpc	4616263291349880277	4.06543503083545
r38/cpg/0.30/900/tau_lpc	4608410684112116716	1.2727296859682111
r38/cpg/0.30/900/tau_hpc	4609704943910762999	1.5601130916289756
r38/cpg/0.30/900/tau_hpt	4605717804202370307	0.8373951151490079
r38/cpg/0.30/900/pi_hpt	4601427004634511389	0.4305103338600718
r38/cpg/0.30/900/tau_lpt	4606513284257310084	0.9257111424114304
r38/cpg/0.30/900/pi_lpt	4604376207078889679	0.6884479135231006
r38/cpg/0.30/900/mdot_air	4601288080533949657	0.42279849710412304
r38/cpg/0.30/900/mdot_ratio	4601288080533949657	0.42279849710412304
r38/cpg/0.30/900/thrust	4641467963606845385	206.45379216276186
r38/cpg/0.30/900/V0	4636390020038410586	95.06497777835958
r38/cpg/0.30/900/V9	4647061556763753479	474.8665430805999
r38/cpg/0.30/900/M9	4607182418800017403	0.9999999999999994
r38/cpg/0.30/900/T9	4648547517783730003	606.6672954999179
r38/cpg/0.30/900/p9	4679468188052171444	68856.38637463265
r38/cpg/0.30/900/F_over_mdot	4647297934147277715	488.3030417014899
r38/cpg/0.30/900/tsfc	4539524987626678356	3.016712074086659e-05
r38/cpg/0.30/900/eta_th	4595447824035448441	0.17429956769324287
r38/cpg/0.30/900/eta_p	4601281299603546424	0.42242207985102054
r38/cpg/0.30/900/s2/Tt	4643158439260848128	254.5
r38/cpg/0.30/900/s2/pt	4677328081534983276	51624.8688784175
r38/cpg/0.30/900/s25/Tt	4644405895984950978	323.9097050789097
r38/cpg/0.30/900/s25/pt	4682385138149555823	111303.59691714657
r38/cpg/0.30/900/s3/Tt	4647597577096965621	505.3357713992876
r38/cpg/0.30/900/s3/pt	4691517461042355338	452497.5419649562
r38/cpg/0.30/900/s4/Tt	4651127699538968576	900.0
r38/cpg/0.30/900/s4/pt	4691206507099273758	434397.64028635796
r38/cpg/0.30/900/s45/Tt	4649840440615255303	753.655603634107
r38/cpg/0.30/900/s45/pt	4685665719358800865	187012.67314770728
r38/cpg/0.30/900/s5/Tt	4649347963078442296	697.6673898249055
r38/cpg/0.30/900/s5/pt	4683583941704964380	128748.48463091668
r38/cpg/0.30/900/s9/Tt	4649347963078442296	697.6673898249055
r38/cpg/0.30/900/s9/pt	4683406991135076589	126173.51493829834
r38/cpg/0.30/900/s4/far	4579645290350216336	0.014730696817141259
r38/cpg/0.30/1100/abort	0	0.0
r38/cpg/0.30/1100/n_pass	4620693217682128896	8.0
r38/cpg/0.30/1100/pi_lpc	4612844413881660250	2.5144309219817105
r38/cpg/0.30/1100/pi_hpc	4617231850314979303	4.925688201843491
r38/cpg/0.30/1100/tau_lpc	4608690632417548025	1.3348906968471381
r38/cpg/0.30/1100/tau_hpc	4610135644482061057	1.6557478298238382
r38/cpg/0.30/1100/tau_hpt	4605717804202370306	0.8373951151490078
r38/cpg/0.30/1100/pi_hpt	4601427004634511389	0.4305103338600718
r38/cpg/0.30/1100/tau_lpt	4606513284257310083	0.9257111424114303
r38/cpg/0.30/1100/pi_lpt	4604376207078889679	0.6884479135231006
r38/cpg/0.30/1100/mdot_air	4603020032175455281	0.537882253201934
r38/cpg/0.30/1100/mdot_ratio	4603020032175455281	0.537882253201934
r38/cpg/0.30/1100/thrust	4644766119269940793	344.386028151002
r38/cpg/0.30/1100/V0	4636390020038410586	95.06497777835958
r38/cpg/0.30/1100/V9	4647829030218768694	524.9847162971625
r38/cpg/0.30/1100/M9	4607182418800017402	0.9999999999999993
r38/cpg/0.30/1100/T9	4649733362664785251	741.482250055455
r38/cpg/0.30/1100/p9	4681422521932195979	97295.68732467496
r38/cpg/0.30/1100/F_over_mdot	4648843027467594558	640.2628569745937
r38/cpg/0.30/1100/tsfc	4539593075569497266	3.0397811664380124e-05
r38/cpg/0.30/1100/eta_th	4595048889772050661	0.16322691757984056
r38/cpg/0.30/1100/eta_p	4601735841427930965	0.44765421980536263
r38/cpg/0.30/1100/s2/Tt	4643158439260848128	254.5
r38/cpg/0.30/1100/s2/pt	4677328081534983276	51624.8688784175
r38/cpg/0.30/1100/s25/Tt	4644684203968280151	339.7296823475967
r38/cpg/0.30/1100/s25/pt	4683656693779424229	129807.16665114423
r38/cpg/0.30/1100/s3/Tt	4648159076939467288	562.5066842737751
r38/cpg/0.30/1100/s3/pt	4693739527187075729	639389.629288273
r38/cpg/0.30/1100/s4/Tt	4652552666608566272	1100.0
r38/cpg/0.30/1100/s4/pt	4693519834583300153	613814.0441167421
r38/cpg/0.30/1100/s45/Tt	4651313601681093953	921.1346266639085
r38/cpg/0.30/1100/s45/pt	4688283449402820388	264253.28906069905
r38/cpg/0.30/1100/s5/Tt	4650711684691655831	852.7045875637731
r38/cpg/0.30/1100/s5/pt	4685490895372665556	181924.62549545488
r38/cpg/0.30/1100/s9/Tt	4650711684691655831	852.7045875637731
r38/cpg/0.30/1100/s9/pt	4685365877721971152	178286.1329855458
r38/cpg/0.30/1100/s4/far	4581266930970650399	0.019462589742011645
r38/cpg/0.30/1500/abort	0	0.0
r38/cpg/0.30/1500/n_pass	4620693217682128896	8.0
r38/cpg/0.30/1500/pi_lpc	4614768880140522252	3.369065622262843
r38/cpg/0.30/1500/pi_hpc	4619288061004601157	6.751970162722334
r38/cpg/0.30/1500/tau_lpc	4609258435498173118	1.4609683075597526
r38/cpg/0.30/1500/tau_hpc	4610896655121095647	1.8247261365120193
r38/cpg/0.30/1500/tau_hpt	4605717804202370306	0.8373951151490078
r38/cpg/0.30/1500/pi_hpt	4601427004634511389	0.4305103338600718
r38/cpg/0.30/1500/tau_lpt	4606513284257310085	0.9257111424114305
r38/cpg/0.30/1500/pi_lpt	4604376207078889679	0.6884479135231006
r38/cpg/0.30/1500/mdot_air	4605724258150227345	0.8381116473000693
r38/cpg/0.30/1500/mdot_ratio	4605724258150227345	0.8381116473000693
r38/cpg/0.30/1500/thrust	4649737751733571141	741.9812294062655
r38/cpg/0.30/1500/V0	4636390020038410586	95.06497777835958
r38/cpg/0.30/1500/V9	4648603661270833835	613.0500710074169
r38/cpg/0.30/1500/M9	4607182418800017406	0.9999999999999998
r38/cpg/0.30/1500/T9	4652105052426895752	1011.1121591665296
r38/cpg/0.30/1500/p9	4685380131963241883	178700.98600677852
r38/cpg/0.30/1500/F_over_mdot	4650998407341273952	885.3011789020202
r38/cpg/0.30/1500/tsfc	4539968940653159889	3.282500608043813e-05
r38/cpg/0.30/1500/eta_th	4594638734145975611	0.1518428120861389
r38/cpg/0.30/1500/eta_p	4601699437483820240	0.4456333949584179
r38/cpg/0.30/1500/s2/Tt	4643158439260848128	254.5
r38/cpg/0.30/1500/s2/pt	4677328081534983276	51624.8688784175
r38/cpg/0.30/1500/s25/Tt	4645248680077729706	371.81643427395704
r38/cpg/0.30/1500/s25/pt	4685216118672215761	173927.57099210334
r38/cpg/0.30/1500/s3/Tt	4649179040935779326	678.4631656043928
r38/cpg/0.30/1500/s3/pt	4697794622755339922	1174353.7698134524
r38/cpg/0.30/1500/s4/Tt	4654311885213007872	1500.0
r38/cpg/0.30/1500/s4/pt	4697592870313928598	1127379.6190209142
r38/cpg/0.30/1500/s45/Tt	4653239169443246811	1256.0926727235117
r38/cpg/0.30/1500/s45/pt	4692081837512586883	485348.5761717336
r38/cpg/0.30/1500/s5/Tt	4652828771495902638	1162.778983041509
