# slice R oracle (cpython) — rungs 40+44 TwoSpoolTransient — key	u64 bits (or an integer)	repr
A/cpg40/R_c	4643754814367753830	286.9
A/cpg44/R_c	4643754060416923354	286.8571428571428
A/cpg40/R_t	4643737628155233517	285.92307692307696
A/cpg44/R_t	4643737628155233517	285.92307692307696
A/cpg40/tt2	4643741180423569407	286.12499999999994
A/cpg40/pt2	4680081772134739219	77785.20992963416
A/cpg40/v0	4643446085055202208	269.3507703720188
A/cpg44/tt2	4643741180423569407	286.12499999999994
A/cpg44/pt2	4680081772134739219	77785.20992963416
A/cpg44/v0	4643445731125572543	269.3306518018325
census/A/close_bracket_fails	0	0
census/A/close_calls	0	0
census/A/close_nonreal_propagated	0	0
census/A/eig_complex	0	0
census/A/eig_real	0	0
census/A/hi_wall_literal	0	0
census/A/hi_wall_map	0	0
census/A/illinois_calls	0	0
census/A/illinois_evals	0	0
census/A/illinois_exhausted	0	0
census/A/instant_calls	0	0
census/A/integrate_calls	0	0
census/A/match_calls	0	0
census/A/powers_calls	0	0
B/flat/0/1500/Tt2	4643741180423569407	286.12499999999994
B/flat/0/1500/Tt25	4645803477028629735	403.35298973666653
B/flat/0/1500/Tt3	4649454405929320605	709.768540939334
B/flat/0/1500/eta_hpc	4606101554889448489	0.88
B/flat/0/1500/eta_lpc	4606281698874543309	0.9
B/flat/0/1500/f	4583809590202238789	0.028284211062902704
B/flat/0/1500/m_hp	4607182418800017407	0.9999999999999999
B/flat/0/1500/m_imp	4607182418800017409	1.0000000000000002
B/flat/0/1500/m_lp	4607182418800017409	1.0000000000000002
B/flat/0/1500/mdot4	4607309799562420766	1.028284211062903
B/flat/0/1500/mdot_air	4607182418800017409	1.0000000000000002
B/flat/0/1500/n_hp	4607182418800017408	1.0
B/flat/0/1500/n_lp	4607182418800017408	1.0
B/flat/0/1500/phi_hp	4607182418800017407	0.9999999999999999
B/flat/0/1500/phi_lp	4607182418800017409	1.0000000000000002
B/flat/0/1500/pi_hpc	4618441417868443649	6.000000000000001
B/flat/0/1500/pi_lpc	4613937818241073153	3.0000000000000004
B/flat/0/1500/pt4	4698523799358154354	1344128.4275840786
B/flat/0/1500/tau_hpc	4610603672633087516	1.7596709557123011
B/flat/0/1500/tau_lpc	4609027584132985321	1.409709007380224
B/flat/0/1200/Tt2	4643741180423569407	286.12499999999994
B/flat/0/1200/Tt25	4645803477028629735	403.35298973666653
B/flat/0/1200/Tt3	4649454405929320605	709.768540939334
B/flat/0/1200/eta_hpc	4606101554889448489	0.88
B/flat/0/1200/eta_lpc	4606281698874543309	0.9
B/flat/0/1200/f	4581115082989451466	0.018935761226480698
B/flat/0/1200/m_hp	4607760192968742943	1.1282916370305498
B/flat/0/1200/m_imp	4607760192968742944	1.12829163703055
B/flat/0/1200/m_lp	4607760192968742944	1.12829163703055
B/flat/0/1200/mdot4	4607856412649648314	1.1496566980631955
B/flat/0/1200/mdot_air	4607760192968742944	1.12829163703055
B/flat/0/1200/n_hp	4607182418800017408	1.0
B/flat/0/1200/n_lp	4607182418800017408	1.0
B/flat/0/1200/phi_hp	4607760192968742943	1.1282916370305498
B/flat/0/1200/phi_lp	4607760192968742944	1.12829163703055
B/flat/0/1200/pi_hpc	4618441417868443649	6.000000000000001
B/flat/0/1200/pi_lpc	4613937818241073153	3.0000000000000004
B/flat/0/1200/pt4	4698523799358154354	1344128.4275840786
B/flat/0/1200/tau_hpc	4610603672633087516	1.7596709557123011
B/flat/0/1200/tau_lpc	4609027584132985321	1.409709007380224
B/flat/1/1500/Tt2	4643741180423569407	286.12499999999994
