# slice R oracle (equil) — rungs 40+44 TwoSpoolTransient — key	u64 bits (or an integer)	repr
P/shaped/1500/M9	4607182418800017414	1.0000000000000013
P/shaped/1500/Pc_hp	4688998029257567326	305847.3109414036
P/shaped/1500/Pc_lp	4682837332674582908	117883.89331207232
P/shaped/1500/Phi_hp	13634828533302201629	-8.754539621983478e-14
P/shaped/1500/Phi_lp	4412324990837178405	9.850733654750828e-14
P/shaped/1500/Pt_hp	4688998029257566866	305847.31094137684
P/shaped/1500/Pt_lp	4682837332674583706	117883.89331208394
P/shaped/1500/Tt2	4643745586963694955	286.3754828060834
P/shaped/1500/Tt25	4645801516094770087	403.2415235519242
P/shaped/1500/Tt3	4649341121304680194	696.8895702014854
P/shaped/1500/Tt4	4654311885213007872	1500.0
P/shaped/1500/Tt45	4653251304555918984	1258.8518778937014
P/shaped/1500/Tt5	4652834285207011429	1164.032655801647
P/shaped/1500/branch_choked	1	1
P/shaped/1500/eta_hpc	4606101554889448489	0.88
P/shaped/1500/eta_hpt	4606461842859638129	0.92
P/shaped/1500/eta_lpc	4606281698874543309	0.9
P/shaped/1500/eta_lpt	4606281698874543309	0.9
P/shaped/1500/f	4582591370642928906	0.024057662926044755
P/shaped/1500/m_hp	4607182418799411003	0.9999999999326755
P/shaped/1500/m_imp	4607182418799742345	0.9999999999694619
P/shaped/1500/m_lp	4607182418799742245	0.9999999999694508
P/shaped/1500/mdot4	4607290764881665708	1.024057662894772
P/shaped/1500/mdot_air	4607182418799742345	0.9999999999694619
P/shaped/1500/n_hp	4607182418799674681	0.9999999999619497
P/shaped/1500/n_lp	4607182418799968072	0.9999999999945226
P/shaped/1500/nu_hp	4607182418799683289	0.9999999999629053
P/shaped/1500/nu_hpt	4607182418799683289	0.9999999999629053
P/shaped/1500/nu_lp	4607182418799968072	0.9999999999945226
P/shaped/1500/nu_lpt	4607182418799926858	0.9999999999899469
P/shaped/1500/phi_hp	4607182418799753730	0.9999999999707259
P/shaped/1500/phi_lp	4607182418799791581	0.9999999999749282
P/shaped/1500/pi_hpc	4618441417867985101	5.9999999995927285
P/shaped/1500/pi_hpt	4601480128964521705	0.4334593265773337
P/shaped/1500/pi_lpc	4613937818241328040	3.000000000113193
P/shaped/1500/pi_lpt	4604378127517645238	0.688661125055481
P/shaped/1500/pt4	4698529237748037388	1345394.6514009861
P/shaped/1500/slip	4607182418800159800	1.0000000000316174
P/shaped/1500/sp_thrust	4649627730615397869	729.47327639855
P/shaped/1500/tau_hpc	4610462024585205716	1.728218770881985
P/shaped/1500/tau_hpt	4605734372676205380	0.8392345852624676
P/shaped/1500/tau_lpc	4609020278146069127	1.4080867524018303
P/shaped/1500/tau_lpt	4606503978674089590	0.9246780151365346
P/shaped/1500/exit_noise	0	0
P/shaped/1500/passes	1	1
P/shaped/1500/powers_calls	4	4
P/shaped/1450/M9	4607182418800017642	1.000000000000052
P/shaped/1450/Pc_hp	4688817253101953508	295324.7537741943
P/shaped/1450/Pc_lp	4682550585917131124	113711.17880562489
P/shaped/1450/Phi_hp	13651901145929011928	-1.2105341951515952e-12
P/shaped/1450/Phi_lp	4421124879635161442	3.8356284285692197e-13
P/shaped/1450/Pt_hp	4688817253101946954	295324.7537738128
P/shaped/1450/Pt_lp	4682550585917134306	113711.1788056712
P/shaped/1450/Tt2	4643745586963694955	286.3754828060834
P/shaped/1450/Tt25	4645729239859396076	399.13309523087696
P/shaped/1450/Tt3	4649220395695235820	683.1646574317397
P/shaped/1450/Tt4	4654091982887452672	1450.0
P/shaped/1450/Tt45	4653058858881816957	1215.094797649973
